type,projection_id,start,stop,duration,metadata_size,data_size
push,0,2554463.996179122,2554463.996209419,3.041699528694153e-05,272,20480
flush_after,0,2554463.996214548,2554464.075729242,0.07951507391408086,272,20480
push,94,2554464.075946659,2554464.075956608,1.0068994015455246e-05,272,20480
flush_after,94,2554464.075958982,2554464.119729379,0.043770777992904186,272,20480
push,188,2554464.119883588,2554464.119893046,9.577721357345581e-06,272,20480
flush_after,188,2554464.11989526,2554464.167729076,0.0478341169655323,272,20480
push,282,2554464.167880821,2554464.167890098,9.397044777870178e-06,272,20480
flush_after,282,2554464.167894707,2554464.211728993,0.043834656942635775,272,20480
push,376,2554464.211873604,2554464.211882691,9.227078408002853e-06,272,20480
flush_after,376,2554464.211885186,2554464.25972858,0.047843755222857,272,20480
push,470,2554464.259867941,2554464.259876777,8.92719253897667e-06,272,20480
flush_after,470,2554464.25987838,2554464.303729479,0.04385139886289835,272,20480
push,564,2554464.303871915,2554464.303880882,9.046867489814758e-06,272,20480
flush_after,564,2554464.303882395,2554464.351727963,0.04784582927823067,272,20480
push,658,2554464.351889135,2554464.351898142,9.077135473489761e-06,272,20480
flush_after,658,2554464.351899635,2554464.39572776,0.043828424997627735,272,20480
push,752,2554464.395861911,2554464.395870848,9.037088602781296e-06,272,20480
flush_after,752,2554464.39587225,2554464.439726815,0.043854845687747,272,20480
push,846,2554464.439854594,2554464.43986299,8.47596675157547e-06,272,20480
flush_after,846,2554464.439864323,2554464.487726842,0.04786279983818531,272,20480
push,940,2554464.487854351,2554464.487862897,8.636154234409332e-06,272,20480
flush_after,940,2554464.48786424,2554464.53172703,0.043863039929419756,272,20480
push,1034,2554464.53185542,2554464.531864217,8.876901119947433e-06,272,20480
flush_after,1034,2554464.531865529,2554464.579728521,0.04786332231014967,272,20480
push,1128,2554464.579853655,2554464.579862201,8.62637534737587e-06,272,20480
flush_after,1128,2554464.579863544,2554464.623730031,0.043866807129234076,272,20480
push,1222,2554464.623856628,2554464.623865184,8.636154234409332e-06,272,20480
flush_after,1222,2554464.623866496,2554464.671728435,0.04786220891401172,272,20480
push,1316,2554464.671852968,2554464.671861614,8.726026862859726e-06,272,20480
flush_after,1316,2554464.671863057,2554464.715728823,0.04386606579646468,272,20480
push,1410,2554464.715859497,2554464.715868134,8.737202733755112e-06,272,20480
flush_after,1410,2554464.715869436,2554464.763727718,0.047858532052487135,272,20480
push,1,2554464.763855086,2554464.763863873,8.866656571626663e-06,272,20480
flush_after,1,2554464.763865255,2554464.807727755,0.04386276099830866,272,20480
push,95,2554464.807856516,2554464.807865002,8.585862815380096e-06,272,20480
flush_after,95,2554464.807866335,2554464.855728214,0.04786214930936694,272,20480
push,189,2554464.85585446,2554464.855862796,8.426140993833542e-06,272,20480
flush_after,189,2554464.855864098,2554464.899728642,0.04386486439034343,272,20480
push,283,2554464.899857904,2554464.899866861,9.047333151102066e-06,272,20480
flush_after,283,2554464.899868233,2554464.947728198,0.04786018608137965,272,20480
push,377,2554464.94785179,2554464.947860225,8.525792509317398e-06,272,20480
flush_after,377,2554464.947861548,2554464.999728206,0.05186696909368038,272,20480
push,471,2554464.999855956,2554464.999864852,8.965842425823212e-06,272,20480
flush_after,471,2554464.999866225,2554465.0237384,0.023872425314038992,272,20480
push,565,2554465.023862332,2554465.023870737,8.495058864355087e-06,272,20480
flush_after,565,2554465.02387211,2554465.071727757,0.04785586707293987,272,20480
push,659,2554465.07185242,2554465.071860886,8.556060492992401e-06,272,20480
flush_after,659,2554465.071862179,2554465.115728906,0.0438669272698462,272,20480
push,753,2554465.115857497,2554465.115866083,8.665956556797028e-06,272,20480
flush_after,753,2554465.115867466,2554465.163727682,0.04786049574613571,272,20480
push,847,2554465.163852676,2554465.163861382,8.776318281888962e-06,272,20480
flush_after,847,2554465.163862594,2554465.207727568,0.04386515403166413,272,20480
push,941,2554465.207849887,2554465.207858583,8.775852620601654e-06,272,20480
flush_after,941,2554465.207859846,2554465.255728808,0.0478692133910954,272,20480
push,1035,2554465.255857519,2554465.255865655,8.196104317903519e-06,272,20480
flush_after,1035,2554465.255866957,2554465.299728575,0.04386187810450792,272,20480
push,1129,2554465.299852257,2554465.299860682,8.495058864355087e-06,272,20480
flush_after,1129,2554465.299861975,2554465.347728031,0.04786629695445299,272,20480
push,1223,2554465.347854989,2554465.347863645,8.726026862859726e-06,272,20480
flush_after,1223,2554465.347865048,2554465.39172897,0.04386416217312217,272,20480
push,1317,2554465.391850968,2554465.391859154,8.27619805932045e-06,272,20480
flush_after,1317,2554465.391860526,2554465.467725876,0.07586565101519227,272,20480
push,1411,2554465.467855609,2554465.467864436,8.916947990655899e-06,272,20480
flush_after,1411,2554465.467865728,2554465.515727046,0.04786159796640277,272,20480
push,2,2554465.515854615,2554465.515863181,8.646398782730103e-06,272,20480
flush_after,2,2554465.515864513,2554465.559726792,0.04386257007718086,272,20480
push,96,2554465.559856776,2554465.559865663,8.966773748397827e-06,272,20480
flush_after,96,2554465.559867065,2554465.607727261,0.04786048689857125,272,20480
push,190,2554465.607854119,2554465.607862555,8.516013622283936e-06,272,20480
flush_after,190,2554465.607863927,2554465.651727399,0.04386372212320566,272,20480
push,284,2554465.651857462,2554465.651866078,8.707400411367416e-06,272,20480
flush_after,284,2554465.651867371,2554465.699728187,0.04786111693829298,272,20480
push,378,2554465.69985219,2554465.699860876,8.766073733568192e-06,272,20480
flush_after,378,2554465.699862249,2554465.743730128,0.04386807978153229,272,20480
push,472,2554465.743851415,2554465.743859781,8.455943316221237e-06,272,20480
flush_after,472,2554465.743861143,2554465.7917273,0.04786646785214543,272,20480
push,566,2554465.791851533,2554465.791860259,8.875969797372818e-06,272,20480
flush_after,566,2554465.791861662,2554465.835726896,0.04386549489572644,272,20480
push,660,2554465.835849436,2554465.835857962,8.60588625073433e-06,272,20480
flush_after,660,2554465.835859204,2554465.883727666,0.04786864202469587,272,20480
push,754,2554465.883848793,2554465.883857198,8.506234735250473e-06,272,20480
flush_after,754,2554465.883858481,2554465.927728083,0.04386984324082732,272,20480
push,848,2554465.927852546,2554465.927860822,8.356291800737381e-06,272,20480
flush_after,848,2554465.927862174,2554465.975727039,0.047865146305412054,272,20480
push,942,2554465.975861401,2554465.975870197,8.866190910339355e-06,272,20480
flush_after,942,2554465.97587164,2554466.027729101,0.05185767216607928,272,20480
push,1036,2554466.027874724,2554466.02788356,8.916947990655899e-06,272,20480
flush_after,1036,2554466.027885033,2554466.071729679,0.04384495737031102,272,20480
push,1130,2554466.071862718,2554466.071871395,8.767005056142807e-06,272,20480
flush_after,1130,2554466.071872827,2554466.119728454,0.047855908051133156,272,20480
push,1224,2554466.119861123,2554466.119869819,8.775852620601654e-06,272,20480
flush_after,1224,2554466.119871142,2554466.163729133,0.043858261313289404,272,20480
push,1318,2554466.163853746,2554466.163862162,8.495990186929703e-06,272,20480
flush_after,1318,2554466.163863494,2554466.243728094,0.07986490009352565,272,20480
push,1412,2554466.243856304,2554466.2438648,8.596107363700867e-06,272,20480
flush_after,1412,2554466.243866252,2554466.287727619,0.04386163828894496,272,20480
push,3,2554466.287852784,2554466.28786144,8.735805749893188e-06,272,20480
flush_after,3,2554466.287862893,2554466.335728529,0.04786592675372958,272,20480
push,97,2554466.335852792,2554466.335861368,8.636154234409332e-06,272,20480
flush_after,97,2554466.33586274,2554466.379727194,0.04386482387781143,272,20480
push,191,2554466.379856967,2554466.379864931,8.065253496170044e-06,272,20480
flush_after,191,2554466.379866304,2554466.427728083,0.04786209901794791,272,20480
push,285,2554466.427850882,2554466.427859499,8.706934750080109e-06,272,20480
flush_after,285,2554466.427860751,2554466.471726927,0.04386636707931757,272,20480
push,379,2554466.471849697,2554466.471858344,8.716713637113571e-06,272,20480
flush_after,379,2554466.471859686,2554466.519728358,0.04786892281845212,272,20480
push,473,2554466.519849545,2554466.519858151,8.68597999215126e-06,272,20480
flush_after,473,2554466.519859474,2554466.563726862,0.04386763786897063,272,20480
push,567,2554466.563850834,2554466.56385923,8.485745638608932e-06,272,20480
flush_after,567,2554466.563860492,2554466.61172681,0.04786654794588685,272,20480
push,661,2554466.611848077,2554466.611856122,8.125323802232742e-06,272,20480
flush_after,661,2554466.611857314,2554466.655726726,0.043869622983038425,272,20480
push,755,2554466.655850017,2554466.655858373,8.435919880867004e-06,272,20480
flush_after,755,2554466.655859695,2554466.703729489,0.04787001432850957,272,20480
push,849,2554466.703850155,2554466.703858881,8.80565494298935e-06,272,20480
flush_after,849,2554466.703860224,2554466.747728544,0.043868510983884335,272,20480
push,943,2554466.747852757,2554466.747860992,8.314847946166992e-06,272,20480
flush_after,943,2554466.747866453,2554466.795726888,0.04786063591018319,272,20480
push,1037,2554466.795846212,2554466.795854417,8.284579962491989e-06,272,20480
flush_after,1037,2554466.7958557,2554466.875727623,0.07987216301262379,272,20480
push,1131,2554466.875853609,2554466.875862445,8.92719253897667e-06,272,20480
flush_after,1131,2554466.875863718,2554466.919726848,0.043863361235708,272,20480
push,1225,2554466.919849278,2554466.919857704,8.526258170604706e-06,272,20480
flush_after,1225,2554466.919859036,2554466.967727277,0.04786843108013272,272,20480
push,1319,2554466.967848353,2554466.967856709,8.455943316221237e-06,272,20480
flush_after,1319,2554466.967858011,2554467.015727966,0.0478701451793313,272,20480
push,1413,2554467.015855234,2554467.0158637,8.545815944671631e-06,272,20480
