type,size,duration
Push,52428800,3.4134e-05
Flush,52428800,0.0899132
Push,52428800,1.2263e-05
Flush,52428800,0.053882
Push,52428800,8.076e-06
Flush,52428800,0.0768888
Push,52428800,9.428e-06
Flush,52428800,0.0481076
Push,52428800,8.095e-06
Flush,52428800,0.0668632
Push,52428800,8.175e-06
Flush,52428800,0.0815638
Push,52428800,8.225e-06
Flush,52428800,0.10072
Push,52428800,8.306e-06
Flush,52428800,0.0810153
Push,52428800,7.744e-06
Flush,52428800,0.0741472
Push,52428800,8.116e-06
Flush,52428800,0.0812199
Push,52428800,8.586e-06
Flush,52428800,0.109794
Push,52428800,7.844e-06
Flush,52428800,0.0802661
Push,52428800,8.576e-06
Flush,52428800,0.0524655
Push,52428800,9.438e-06
Flush,52428800,0.0654364
Push,52428800,8.907e-06
Flush,52428800,0.171794
Push,52428800,8.787e-06
Flush,52428800,0.0649117
Push,52428800,8.255e-06
Flush,52428800,0.0662052
Push,52428800,8.286e-06
Flush,52428800,0.0818129
Push,52428800,8.716e-06
Flush,52428800,0.0847011
Push,52428800,8.536e-06
Flush,52428800,0.0711978
Push,52428800,7.905e-06
Flush,52428800,0.0540771
Push,52428800,8.726e-06
Flush,52428800,0.0769877
Push,52428800,7.985e-06
Flush,52428800,0.0814768
Push,52428800,9.017e-06
Flush,52428800,0.0661904
Push,52428800,8.235e-06
Flush,52428800,0.0813911
Push,52428800,8.055e-06
Flush,52428800,0.111687
Push,52428800,8.536e-06
Flush,52428800,0.0646519
Push,52428800,9.297e-06
Flush,52428800,0.0822607
Push,52428800,9.267e-06
Flush,52428800,0.0880801
Push,52428800,8.787e-06
Flush,52428800,0.0663039
Push,52428800,9.087e-06
Flush,52428800,0.229264
Push,52428800,9.237e-06
Flush,52428800,0.0693582
Push,52428800,9.818e-06
Flush,52428800,0.100849
Push,52428800,8.767e-06
Flush,52428800,0.0679183
Push,52428800,8.126e-06
Flush,52428800,0.0838853
Push,52428800,8.626e-06
Flush,52428800,0.0810147
Push,52428800,8.315e-06
Flush,52428800,0.0739703
Push,52428800,8.757e-06
Flush,52428800,0.0670172
Push,52428800,8.166e-06
Flush,52428800,0.0681452
Push,52428800,8.997e-06
Flush,52428800,0.0643669
Push,52428800,9.618e-06
Flush,52428800,0.0684939
Push,52428800,9.228e-06
Flush,52428800,0.0892716
Push,52428800,8.937e-06
Flush,52428800,0.0649499
Push,52428800,8.746e-06
Flush,52428800,0.0828984
Push,52428800,8.376e-06
Flush,52428800,0.0986948
Push,52428800,8.636e-06
Flush,52428800,0.0864896
Push,52428800,7.915e-06
Flush,52428800,0.0786361
Push,52428800,8.496e-06
Flush,52428800,0.0659057
Push,52428800,8.515e-06
Flush,52428800,0.0630814
Push,52428800,7.714e-06
Flush,52428800,0.0899979
Push,52428800,7.875e-06
Flush,52428800,0.0662454
Push,52428800,8.136e-06
Flush,52428800,0.0837275
Push,52428800,9.328e-06
Flush,52428800,0.110675
Push,52428800,8.386e-06
Flush,52428800,0.0901505
Push,52428800,7.744e-06
Flush,52428800,0.0646581
Push,52428800,8.115e-06
Flush,52428800,0.103393
Push,52428800,9.668e-06
Flush,52428800,0.0804705
Push,52428800,9.197e-06
Flush,52428800,0.0892306
Push,52428800,9.729e-06
Flush,52428800,0.0658432
Push,52428800,8.907e-06
Flush,52428800,0.0851961
Push,52428800,9.278e-06
Flush,52428800,0.0796416
Push,52428800,8.676e-06
Flush,52428800,0.0801754
Push,52428800,8.807e-06
Flush,52428800,0.417958
Push,52428800,8.506e-06
Flush,52428800,0.0645979
Push,52428800,8.406e-06
Flush,52428800,0.0855613
Push,52428800,8.185e-06
Flush,52428800,0.08187
Push,52428800,8.596e-06
Flush,52428800,0.0664087
Push,52428800,7.995e-06
Flush,52428800,0.0661613
Push,52428800,7.995e-06
Flush,52428800,0.108814
Push,52428800,7.765e-06
Flush,52428800,0.0901964
Push,52428800,8.226e-06
Flush,52428800,0.085163
Push,52428800,8.446e-06
Flush,52428800,0.0782438
Push,52428800,8.376e-06
Flush,52428800,0.0873618
Push,52428800,9.047e-06
Flush,52428800,0.081956
Push,52428800,7.774e-06
Flush,52428800,0.0658979
Push,52428800,7.825e-06
Flush,52428800,0.0861349
Push,52428800,8.185e-06
Flush,52428800,0.0900717
Push,52428800,8.456e-06
Flush,52428800,0.0882093
Push,52428800,7.514e-06
Flush,52428800,0.0663589
Push,52428800,8.455e-06
Flush,52428800,0.069084
Push,52428800,7.133e-06
Flush,52428800,0.0993416
Push,52428800,8.405e-06
Flush,52428800,0.0642643
Push,52428800,8.836e-06
Flush,52428800,0.0651085
Push,52428800,9.227e-06
Flush,52428800,0.0930042
Push,52428800,7.925e-06
Flush,52428800,0.0573596
Push,52428800,9.158e-06
Flush,52428800,0.0858321
Push,52428800,8.215e-06
Flush,52428800,0.060646
Push,52428800,8.657e-06
Flush,52428800,0.109992
Push,52428800,8.325e-06
Flush,52428800,0.0670104
Push,52428800,8.657e-06
Flush,52428800,0.0643084
Push,52428800,8.135e-06
Flush,52428800,0.0892808
Push,52428800,8.015e-06
Flush,52428800,0.0662205
Push,52428800,9.337e-06
Flush,52428800,0.0638499
Push,52428800,7.384e-06
Flush,52428800,0.0655681
Flush,0,3.517e-06
