type,index,start,stop,duration,metadata_size,data_size
push,0,2553796.026035944,2553796.026174363,0.00013863900676369667,184,20540
push,94,2553796.626244073,2553796.626297313,5.3530093282461166e-05,184,20548
push,188,2553797.226362636,2553797.22637566,1.3154000043869019e-05,184,20548
push,282,2553797.826437066,2553797.826448407,1.1471100151538849e-05,184,20548
push,376,2553798.4265087,2553798.426522386,1.3805925846099854e-05,184,20548
push,470,2553799.026584904,2553799.026600082,1.529790461063385e-05,184,20548
push,564,2553799.626663561,2553799.626672809,9.348150342702866e-06,184,20548
push,658,2553800.226738401,2553800.226751256,1.3004988431930542e-05,184,20548
push,752,2553800.826813282,2553800.826825204,1.2042932212352753e-05,184,20548
push,846,2553801.42688682,2553801.426897921,1.1221040040254593e-05,184,20548
push,940,2553802.026958555,2553802.026969706,1.1221040040254593e-05,184,20548
push,1034,2553802.627029205,2553802.627041538,1.243269070982933e-05,184,20548
push,1128,2553803.227100944,2553803.227112005,1.1140946298837662e-05,184,20548
push,1222,2553803.827171471,2553803.827181279,9.869225323200226e-06,184,20548
push,1316,2553804.42724266,2553804.427252709,1.016911119222641e-05,184,20548
push,1410,2553805.027313026,2553805.027328375,1.5448778867721558e-05,184,20548
push,1,2553805.627390687,2553805.627405434,1.4847144484519958e-05,184,20548
push,95,2553806.227439743,2553806.227454942,1.5278812497854233e-05,184,20548
push,189,2553806.827517544,2553806.827529857,1.2404285371303558e-05,184,20548
push,283,2553807.427590736,2553807.427606155,1.5498604625463486e-05,184,20548
push,377,2553808.027668446,2553808.02768119,1.2804288417100906e-05,184,20548
push,471,2553808.627743622,2553808.627756817,1.3285316526889801e-05,184,20548
push,565,2553809.227819009,2553809.227832494,1.3574957847595215e-05,184,20548
push,659,2553809.827894094,2553809.827906577,1.2553296983242035e-05,184,20548
push,753,2553810.427969209,2553810.427988044,1.8936116248369217e-05,184,20548
push,847,2553811.028054444,2553811.028067588,1.3214070349931717e-05,184,20548
push,941,2553811.628131063,2553811.628143686,1.2682750821113586e-05,184,20548
push,1035,2553812.228206148,2553812.228219052,1.3004057109355927e-05,184,20548
push,1129,2553812.828281995,2553812.828297744,1.581897959113121e-05,184,20548
push,1223,2553813.428360447,2553813.428373291,1.28941610455513e-05,184,20548
push,1317,2553814.02843414,2553814.028445521,1.1440832167863846e-05,184,20548
push,1411,2553814.62850644,2553814.628519073,1.2693926692008972e-05,184,20548
push,2,2553815.228581465,2553815.228598617,1.72322615981102e-05,184,20548
push,96,2553815.828660909,2553815.828675857,1.509813591837883e-05,184,20548
push,190,2553816.428738098,2553816.428751373,1.3364944607019424e-05,184,20548
