type,size,duration
wait_t,1,4.198e-06
wait_t,1,5.11e-07
wait_t,1,4.01e-07
wait_t,1,3.41e-07
mata_t,133,6e-08
data_t,10240,1.664e-06
mata_t,132,2.2e-07
data_t,10240,2.2e-07
mata_t,133,1.4e-07
data_t,10240,1.51e-07
mata_t,132,1.61e-07
data_t,10240,1.31e-07
wait_t,1,2.505e-06
wait_t,1,1.824e-06
wait_t,1,4.71e-07
wait_t,1,1.61e-07
mata_t,132,7e-08
data_t,10240,1.4e-07
mata_t,132,6e-08
data_t,10240,5e-08
mata_t,131,5e-08
data_t,10240,6e-08
mata_t,132,4e-08
data_t,10240,5.1e-08
wait_t,1,3.416e-06
wait_t,1,3.1e-07
wait_t,1,2.21e-07
wait_t,1,4.51e-07
mata_t,132,7e-08
data_t,10240,3.11e-07
mata_t,132,8e-08
data_t,10240,4e-08
mata_t,133,7e-08
data_t,10240,1.3e-07
mata_t,133,6e-08
data_t,10240,4.1e-08
wait_t,1,3.376e-06
wait_t,1,3.01e-07
wait_t,1,2.2e-07
wait_t,1,2e-07
mata_t,133,7e-08
data_t,10240,2.3e-07
mata_t,134,1.5e-07
data_t,10240,4e-08
mata_t,134,6e-08
data_t,10240,1.2e-07
mata_t,134,5e-08
data_t,10240,4e-08
wait_t,1,5.42e-06
wait_t,1,6.82e-07
wait_t,1,2.41e-07
wait_t,1,2e-07
mata_t,133,6e-08
data_t,10240,4.61e-07
mata_t,133,7e-08
data_t,10240,5e-08
mata_t,134,1.21e-07
data_t,10240,5e-08
mata_t,133,5e-08
data_t,10240,1.11e-07
wait_t,1,3.236e-06
wait_t,1,3.01e-07
wait_t,1,2.1e-07
wait_t,1,5.91e-07
mata_t,133,7e-08
data_t,10240,2.11e-07
mata_t,133,7.1e-08
data_t,10240,2.11e-07
mata_t,133,1.2e-07
data_t,10240,1.6e-07
mata_t,133,5e-08
data_t,10240,1.2e-07
wait_t,1,5.199e-06
wait_t,1,2.9e-07
wait_t,1,2.2e-07
wait_t,1,2.71e-07
mata_t,133,7e-08
data_t,10240,6.22e-07
mata_t,133,5e-08
data_t,10240,2.31e-07
mata_t,133,4e-08
data_t,10240,1.1e-07
mata_t,134,5e-08
data_t,10240,1.01e-07
wait_t,1,5.35e-06
wait_t,1,8.51e-07
wait_t,1,2.71e-07
wait_t,1,2.9e-07
mata_t,133,6.1e-08
data_t,10240,5.21e-07
mata_t,133,5e-08
data_t,10240,3e-08
mata_t,134,6e-08
data_t,10240,5e-08
mata_t,134,4e-08
