type,size,duration
wait_t,1,626.189
wait_t,1,0.000961577
wait_t,1,1.132e-06
wait_t,1,3.2e-07
mata_t,133,6e-08
data_t,20480,0.000396185
mata_t,132,3.01e-07
data_t,20480,1.9e-07
mata_t,133,1.1e-07
data_t,20480,1.01e-07
mata_t,132,7e-08
data_t,20480,8e-08
wait_t,1,3.106e-06
wait_t,1,0.000416603
wait_t,1,8.52e-07
wait_t,1,4.5e-07
mata_t,132,7e-08
data_t,20480,2.31e-07
mata_t,132,5e-08
data_t,20480,1.21e-07
mata_t,131,5e-08
data_t,20480,5e-08
mata_t,132,5.1e-08
data_t,20480,6e-08
wait_t,1,4.769e-06
wait_t,1,6.82e-07
wait_t,1,3.11e-07
wait_t,1,5.21e-07
mata_t,133,6e-08
data_t,20480,5.41e-07
mata_t,132,5.1e-08
data_t,20480,6e-08
mata_t,133,5e-08
data_t,20480,5e-08
mata_t,133,6.1e-08
data_t,20480,2.21e-07
wait_t,1,4.859e-06
wait_t,1,4.3e-07
wait_t,1,4.31e-07
wait_t,1,4.81e-07
mata_t,133,7e-08
data_t,20480,3.71e-07
mata_t,134,5e-08
data_t,20480,7e-08
mata_t,134,6e-08
data_t,20480,5e-08
mata_t,134,5e-08
data_t,20480,6e-08
wait_t,1,6.502e-06
wait_t,1,1.062e-06
wait_t,1,5.11e-07
wait_t,1,5.91e-07
mata_t,133,7e-08
data_t,20480,5.91e-07
mata_t,133,5e-08
data_t,20480,1.61e-07
mata_t,134,5e-08
data_t,20480,6.1e-08
mata_t,133,5e-08
data_t,20480,6e-08
wait_t,1,4.228e-06
wait_t,1,7.72e-07
wait_t,1,5.91e-07
wait_t,1,9.92e-07
mata_t,133,6e-08
data_t,20480,1.9e-07
mata_t,133,5e-08
data_t,20480,6e-08
mata_t,133,5e-08
data_t,20480,6e-08
mata_t,133,5e-08
data_t,20480,6e-08
wait_t,1,6.612e-06
wait_t,1,5.71e-07
wait_t,1,5.2e-07
wait_t,1,4.3e-07
mata_t,133,6e-08
data_t,20480,4.91e-07
mata_t,133,7e-08
data_t,20480,2.4e-07
mata_t,133,5.1e-08
data_t,20480,6e-08
mata_t,134,5e-08
data_t,20480,5e-08
wait_t,1,6.122e-06
wait_t,1,1.022e-06
wait_t,1,5.82e-07
wait_t,1,8.41e-07
