type,size,duration
Push,26214400,8.2735e-05
Push,26214400,6.272e-06
Push,26214400,8.626e-06
Push,26214400,8.586e-06
Push,26214400,9.007e-06
Push,26214400,7.765e-06
Push,26214400,8.215e-06
Push,26214400,7.815e-06
Push,26214400,8.726e-06
Push,26214400,8.366e-06
Push,26214400,8.756e-06
Push,26214400,7.544e-06
Push,26214400,8.496e-06
Push,26214400,8.085e-06
Push,26214400,9.417e-06
Push,26214400,7.825e-06
Push,26214400,9.558e-06
Push,26214400,8.115e-06
Push,26214400,7.665e-06
Push,26214400,7.745e-06
Push,26214400,8.516e-06
Push,26214400,8.246e-06
Push,26214400,8.285e-06
Push,26214400,8.556e-06
Push,26214400,8.336e-06
Push,26214400,8.216e-06
Push,26214400,6.051e-06
Push,26214400,8.286e-06
Push,26214400,8.867e-06
Push,26214400,8.516e-06
Push,26214400,8.516e-06
Push,26214400,7.314e-06
Push,26214400,9.127e-06
Push,26214400,7.995e-06
Push,26214400,1.6802e-05
Push,26214400,8.346e-06
Push,26214400,8.115e-06
Push,26214400,8.335e-06
Push,26214400,8.446e-06
Push,26214400,9.287e-06
Push,26214400,7.775e-06
Push,26214400,8.245e-06
Push,26214400,8.236e-06
Push,26214400,8.105e-06
Push,26214400,8.917e-06
Push,26214400,7.894e-06
Push,26214400,8.466e-06
Push,26214400,8.376e-06
Push,26214400,8.816e-06
Push,26214400,7.885e-06
Push,26214400,7.464e-06
Push,26214400,8.385e-06
Push,26214400,8.486e-06
Push,26214400,8.145e-06
Push,26214400,1.6601e-05
Push,26214400,8.656e-06
Push,26214400,8.797e-06
Push,26214400,7.945e-06
Push,26214400,8.216e-06
Push,26214400,8.967e-06
Push,26214400,0.0160126
Push,26214400,7.955e-06
Push,26214400,8.496e-06
Push,26214400,8.446e-06
Push,26214400,1.088e-05
Push,26214400,8.215e-06
Push,26214400,8.696e-06
Push,26214400,7.935e-06
Push,26214400,7.675e-06
Push,26214400,8.596e-06
Push,26214400,8.216e-06
Push,26214400,8.356e-06
Push,26214400,8.015e-06
Push,26214400,7.885e-06
Push,26214400,8.165e-06
Push,26214400,8.546e-06
Push,26214400,8.867e-06
Push,26214400,8.275e-06
Push,26214400,8.306e-06
Push,26214400,8.376e-06
Push,26214400,8.296e-06
Push,26214400,8.756e-06
Push,26214400,8.576e-06
Push,26214400,7.845e-06
Push,26214400,8.737e-06
Push,26214400,8.376e-06
Push,26214400,7.684e-06
Push,26214400,8.426e-06
Push,26214400,7.945e-06
Push,26214400,8.305e-06
Push,26214400,8.075e-06
Push,26214400,8.225e-06
Push,26214400,8.306e-06
Push,26214400,8.707e-06
Flush,2464153600,0.439881
