type,projection_id,start,stop,duration,metadata_size,data_size
push,0,1443100.028196372,1443100.02822718,3.100791946053505e-05,272,10240
push,0,1443100.028231738,1443100.028245394,1.3786135241389275e-05,272,10240
push,94,1443100.039966639,1443100.039976998,1.0468997061252594e-05,272,10240
push,94,1443100.039979172,1443100.039984322,5.270121619105339e-06,272,10240
push,188,1443100.071949186,1443100.071959184,1.0109040886163712e-05,272,10240
push,188,1443100.071963483,1443100.071969283,5.9409067034721375e-06,272,10240
push,282,1443100.103947503,1443100.103957111,9.71788540482521e-06,272,10240
push,282,1443100.103958534,1443100.103963002,4.567904397845268e-06,272,10240
push,376,1443100.128501601,1443100.12851148,9.94885340332985e-06,272,10240
push,376,1443100.128512993,1443100.128517772,4.898989573121071e-06,272,10240
push,470,1443100.139935707,1443100.139944594,8.977018296718597e-06,272,10240
push,470,1443100.139945966,1443100.139950034,4.158122465014458e-06,272,10240
push,564,1443100.171929666,1443100.171938723,9.116949513554573e-06,272,10240
push,564,1443100.171940085,1443100.171944143,4.1478779166936874e-06,272,10240
push,658,1443100.20394271,1443100.203951797,9.167008101940155e-06,272,10240
push,658,1443100.20395328,1443100.203957558,4.367902874946594e-06,272,10240
push,752,1443100.228525623,1443100.228535191,9.658047929406166e-06,272,10240
push,752,1443100.228536664,1443100.228541292,4.708999767899513e-06,272,10240
push,846,1443100.239918792,1443100.239927699,9.007053449749947e-06,272,10240
push,846,1443100.239929161,1443100.239933219,4.137866199016571e-06,272,10240
push,940,1443100.27191794,1443100.271927208,9.348150342702866e-06,272,10240
push,940,1443100.27192854,1443100.271932828,4.368135705590248e-06,272,10240
push,1034,1443100.303902782,1443100.303911979,9.296927601099014e-06,272,10240
push,1034,1443100.303913311,1443100.303917449,4.217959940433502e-06,272,10240
push,1128,1443100.328582537,1443100.328591543,9.067123755812645e-06,272,10240
push,1128,1443100.328592876,1443100.328597094,4.288041964173317e-06,272,10240
push,1222,1443100.339908829,1443100.339917555,8.78702849149704e-06,272,10240
push,1222,1443100.339918888,1443100.339922865,4.06801700592041e-06,272,10240
push,1316,1443100.371911163,1443100.371920381,9.318115189671516e-06,272,10240
push,1316,1443100.371921733,1443100.371925851,4.207948222756386e-06,272,10240
push,1410,1443100.40391983,1443100.403928857,9.106937795877457e-06,272,10240
push,1410,1443100.40393025,1443100.403934317,4.1478779166936874e-06,272,10240
push,1,1443100.428629281,1443100.428638989,9.787967428565025e-06,272,10240
push,1,1443100.428640402,1443100.428645461,5.129026249051094e-06,272,10240
push,95,1443100.439914005,1443100.439922551,8.636852726340294e-06,272,10240
push,95,1443100.439923994,1443100.439928112,4.207948222756386e-06,272,10240
push,189,1443100.471911471,1443100.471920357,8.975854143500328e-06,272,10240
push,189,1443100.47192158,1443100.471925707,4.20701690018177e-06,272,10240
push,283,1443100.503901011,1443100.503909827,8.88691283762455e-06,272,10240
push,283,1443100.50391104,1443100.503915067,4.09688800573349e-06,272,10240
push,377,1443100.543900673,1443100.54390974,9.167008101940155e-06,272,10240
push,377,1443100.543912976,1443100.543917485,4.598870873451233e-06,272,10240
push,471,1443100.555909608,1443100.555918154,8.627073839306831e-06,272,10240
push,471,1443100.555919537,1443100.555923565,4.127854481339455e-06,272,10240
push,565,1443100.587904799,1443100.587913335,8.60588625073433e-06,272,10240
push,565,1443100.587914568,1443100.587918275,3.776978701353073e-06,272,10240
push,659,1443100.659914941,1443100.659924629,9.78889875113964e-06,272,10240
push,659,1443100.659926032,1443100.65993035,4.397938027977943e-06,272,10240
push,753,1443100.671909079,1443100.671918126,9.12696123123169e-06,272,10240
push,753,1443100.671919459,1443100.671923567,4.177913069725037e-06,272,10240
push,847,1443100.70390963,1443100.703918357,8.807051926851273e-06,272,10240
push,847,1443100.703919689,1443100.703923486,3.877095878124237e-06,272,10240
push,941,1443100.728800121,1443100.728808858,8.837087079882622e-06,272,10240
push,941,1443100.72881018,1443100.728814198,4.098052158951759e-06,272,10240
push,1035,1443100.73991141,1443100.739920166,8.81589949131012e-06,272,10240
push,1035,1443100.739921469,1443100.739925586,4.20701690018177e-06,272,10240
push,1129,1443100.771899487,1443100.771907813,8.406117558479309e-06,272,10240
push,1129,1443100.771909165,1443100.771913534,4.47896309196949e-06,272,10240
push,1223,1443100.803914796,1443100.803923833,9.116949513554573e-06,272,10240
push,1223,1443100.803925055,1443100.803929203,4.217959940433502e-06,272,10240
push,1317,1443100.828850712,1443100.828859178,8.536037057638168e-06,272,10240
push,1317,1443100.82886047,1443100.828864308,3.937864676117897e-06,272,10240
push,1411,1443100.839907719,1443100.839916396,8.78702849149704e-06,272,10240
push,1411,1443100.839917758,1443100.839921786,4.108063876628876e-06,272,10240
push,2,1443100.871900987,1443100.871911046,1.015886664390564e-05,272,10240
push,2,1443100.871912328,1443100.871917688,5.419831722974777e-06,272,10240
push,96,1443100.903915614,1443100.903924741,9.318115189671516e-06,272,10240
push,96,1443100.903926615,1443100.903930823,4.2780302464962006e-06,272,10240
push,190,1443100.928900182,1443100.928908998,8.89599323272705e-06,272,10240
push,190,1443100.928910191,1443100.928914098,3.99700365960598e-06,272,10240
push,284,1443100.939902155,1443100.939911142,9.057112038135529e-06,272,10240
push,284,1443100.939912514,1443100.939919157,6.753019988536835e-06,272,10240
push,378,1443100.971903268,1443100.971912385,9.20705497264862e-06,272,10240
push,378,1443100.971913817,1443100.971917995,4.258006811141968e-06,272,10240
push,472,1443101.003899791,1443101.003908417,8.71601514518261e-06,272,10240
push,472,1443101.00390983,1443101.003914178,4.437984898686409e-06,272,10240
push,566,1443101.028968266,1443101.028977343,9.177019819617271e-06,272,10240
