type,index,start,stop,duration,metadata_size,data_size
push,0,1442653.410365265,1442653.410426189,6.104400381445885e-05,184,20540
push,94,1442654.010498097,1442654.01053154,3.363308496773243e-05,184,20548
push,188,1442654.610595784,1442654.61060986,1.4255987480282784e-05,184,20548
push,282,1442655.210673112,1442655.210687198,1.4387071132659912e-05,184,20548
push,376,1442655.810749999,1442655.810763044,1.3184966519474983e-05,184,20548
push,470,1442656.410828339,1442656.410846613,1.8385006114840508e-05,184,20548
push,564,1442657.010910506,1442657.010924202,1.3816170394420624e-05,184,20548
push,658,1442657.610992964,1442657.611005698,1.2884149327874184e-05,184,20548
flush_after,658,1442657.611009766,1442657.656012957,0.045003530802205205,1472,164384
push,752,1442658.256081699,1442658.25610389,2.237199805676937e-05,184,20548
push,846,1442658.856168204,1442658.856180147,1.2052943930029869e-05,184,20548
push,940,1442659.456241936,1442659.456261202,1.9356142729520798e-05,184,20548
push,1034,1442660.056323211,1442660.056337458,1.4347024261951447e-05,184,20548
push,1128,1442660.656399137,1442660.656413934,1.4867866411805153e-05,184,20548
push,1222,1442661.256477827,1442661.256492986,1.5259021893143654e-05,184,20548
push,1316,1442661.856555557,1442661.856568171,1.2713950127363205e-05,184,20548
push,1410,1442662.45663028,1442662.456647362,1.716194674372673e-05,184,20548
flush_after,1410,1442662.456650378,1442662.504012637,0.047362508950755,1472,164384
push,1,1442663.104080007,1442663.10410289,2.2982945665717125e-05,184,20548
push,95,1442663.704169759,1442663.704185067,1.5438999980688095e-05,184,20548
push,189,1442664.30424873,1442664.304264179,1.5549128875136375e-05,184,20548
push,283,1442664.904326659,1442664.904343972,1.7413171008229256e-05,184,20548
push,377,1442665.504406081,1442665.504422793,1.6812002286314964e-05,184,20548
push,471,1442666.104484802,1442666.104502014,1.732190139591694e-05,184,20548
push,565,1442666.704574243,1442666.704587207,1.3064127415418625e-05,184,20548
push,659,1442667.304650198,1442667.304665187,1.5069032087922096e-05,184,20548
flush_after,659,1442667.304668543,1442667.352014822,0.04734647017903626,1472,164384
push,753,1442667.952081891,1442667.95210235,2.0538922399282455e-05,184,20548
push,847,1442668.552164129,1442668.552176392,1.2363074347376823e-05,184,20548
push,941,1442669.15223766,1442669.152249722,1.2143049389123917e-05,184,20548
push,1035,1442669.752312193,1442669.752333382,2.1300045773386955e-05,184,20548
push,1129,1442670.352397726,1442670.352412133,1.4506978914141655e-05,184,20548
push,1223,1442670.952473281,1442670.952486726,1.3525132089853287e-05,184,20548
push,1317,1442671.552548346,1442671.552560839,1.2562843039631844e-05,184,20548
push,1411,1442672.15262376,1442672.152640061,1.638103276491165e-05,184,20548
flush_after,1411,1442672.152643116,1442672.200011467,0.04736867104656994,1472,164384
push,2,1442672.800079268,1442672.800100798,2.1600164473056793e-05,184,20548
push,96,1442673.400164421,1442673.400179719,1.544901169836521e-05,184,20548
push,190,1442674.000243041,1442674.00025848,1.5639932826161385e-05,184,20548
