type,size,duration
Push,52428800,0.0126784
Push,52428800,8.496e-06
Push,52428800,9.227e-06
Push,52428800,8.757e-06
Push,52428800,8.826e-06
Push,52428800,7.825e-06
Push,52428800,8.175e-06
Push,52428800,8.997e-06
Push,52428800,8.776e-06
Push,52428800,8.366e-06
Push,52428800,9.087e-06
Push,52428800,8.776e-06
Push,52428800,8.135e-06
Push,52428800,8.286e-06
Push,52428800,8.366e-06
Push,52428800,7.915e-06
Push,52428800,9.968e-06
Push,52428800,7.735e-06
Push,52428800,8.135e-06
Push,52428800,8.506e-06
Push,52428800,7.995e-06
Push,52428800,8.045e-06
Push,52428800,8.826e-06
Push,52428800,8.386e-06
Push,52428800,8.125e-06
Push,52428800,7.404e-06
Push,52428800,8.015e-06
Push,52428800,7.774e-06
Push,52428800,8.626e-06
Push,52428800,7.504e-06
Push,52428800,8.025e-06
Push,52428800,8.346e-06
Push,52428800,9.969e-06
Push,52428800,7.434e-06
Push,52428800,8.657e-06
Push,52428800,7.274e-06
Push,52428800,8.045e-06
Push,52428800,8.005e-06
Push,52428800,7.814e-06
Push,52428800,8.185e-06
Push,52428800,8.536e-06
Push,52428800,8.025e-06
Push,52428800,9.127e-06
Push,52428800,8.276e-06
Push,52428800,7.975e-06
Push,52428800,7.675e-06
Push,52428800,8.266e-06
Push,52428800,7.474e-06
Push,52428800,7.805e-06
Push,52428800,8.756e-06
Push,52428800,8.696e-06
Push,52428800,8.496e-06
Push,52428800,8.005e-06
Push,52428800,8.455e-06
Push,52428800,8.306e-06
Push,52428800,7.604e-06
Push,52428800,8.516e-06
Push,52428800,7.243e-06
Push,52428800,7.784e-06
Push,52428800,7.173e-06
Push,52428800,8.246e-06
Push,52428800,7.924e-06
Push,52428800,8.526e-06
Push,52428800,7.223e-06
Flush,3355443200,0.58871
Push,52428800,1.4958e-05
Push,52428800,7.805e-06
Push,52428800,8.426e-06
Push,52428800,7.775e-06
Push,52428800,9.297e-06
Push,52428800,7.875e-06
Push,52428800,8.977e-06
Push,52428800,7.824e-06
Push,52428800,8.616e-06
Push,52428800,8.215e-06
Push,52428800,8.185e-06
Push,52428800,9.337e-06
Push,52428800,8.456e-06
Push,52428800,9.137e-06
Push,52428800,8.627e-06
Push,52428800,7.865e-06
Push,52428800,7.654e-06
Push,52428800,8.155e-06
Push,52428800,7.955e-06
Push,52428800,8.977e-06
Push,52428800,8.576e-06
Push,52428800,8.176e-06
Push,52428800,7.684e-06
Push,52428800,9.037e-06
Push,52428800,8.606e-06
Push,52428800,2.151e-05
Push,52428800,8.866e-06
Push,52428800,8.055e-06
Push,52428800,8.105e-06
Push,52428800,8.196e-06
Flush,1572864000,0.315744
