type,index,start,stop,duration,metadata_size,data_size
push,0,2553546.227877028,2553546.228026458,0.00014963140711188316,184,20540
push,94,2553546.828096946,2553546.828151979,5.5254437029361725e-05,184,20548
push,188,2553547.428215465,2553547.428229481,1.4176126569509506e-05,184,20548
push,282,2553548.028292235,2553548.028308565,1.651095226407051e-05,184,20548
push,376,2553548.628373172,2553548.628385786,1.2763775885105133e-05,184,20548
push,470,2553549.228446756,2553549.228457537,1.0890886187553406e-05,184,20548
push,564,2553549.828518026,2553549.828529007,1.1091120541095734e-05,184,20548
push,658,2553550.428595918,2553550.428608682,1.2894626706838608e-05,184,20548
flush_after,658,2553550.428611758,2553550.475389075,0.04677767772227526,1472,164384
push,752,2553551.075456608,2553551.07547409,1.7622951418161392e-05,184,20548
push,846,2553551.675535552,2553551.675546743,1.1290889233350754e-05,184,20548
push,940,2553552.275608645,2553552.275621599,1.302408054471016e-05,184,20548
push,1034,2553552.87568277,2553552.875699401,1.6740988940000534e-05,184,20548
push,1128,2553553.475763097,2553553.475773937,1.0909978300333023e-05,184,20548
push,1222,2553554.07583579,2553554.07584671,1.103011891245842e-05,184,20548
push,1316,2553554.67590727,2553554.675917509,1.0308809578418732e-05,184,20548
push,1410,2553555.275977097,2553555.275987907,1.0880175977945328e-05,184,20548
flush_after,1410,2553555.275990281,2553555.323389002,0.04739896208047867,1472,164384
push,1,2553555.923455884,2553555.923470491,1.4686957001686096e-05,184,20548
push,95,2553556.52353085,2553556.523544796,1.4076940715312958e-05,184,20548
push,189,2553557.12360743,2553557.123620875,1.360476016998291e-05,184,20548
push,283,2553557.723682357,2553557.723695852,1.3585202395915985e-05,184,20548
push,377,2553558.323757954,2553558.323769376,1.150183379650116e-05,184,20548
push,471,2553558.923830406,2553558.923842359,1.2023374438285828e-05,184,20548
push,565,2553559.52390355,2553559.523913308,9.827781468629837e-06,184,20548
push,659,2553560.123974689,2553560.123987623,1.2994278222322464e-05,184,20548
flush_after,659,2553560.123989707,2553560.171388499,0.04739915207028389,1472,164384
push,753,2553560.771454007,2553560.771471019,1.709209755063057e-05,184,20548
push,847,2553561.37153192,2553561.371544423,1.2563075870275497e-05,184,20548
push,941,2553561.971606085,2553561.971618698,1.2783799320459366e-05,184,20548
push,1035,2553562.57168029,2553562.57169642,1.619989052414894e-05,184,20548
push,1129,2553563.171757942,2553563.171771788,1.392606645822525e-05,184,20548
push,1223,2553563.771834221,2553563.771846163,1.2011732906103134e-05,184,20548
push,1317,2553564.371906723,2553564.371919467,1.2814067304134369e-05,184,20548
push,1411,2553564.971982381,2553564.971993752,1.1431053280830383e-05,184,20548
flush_after,1411,2553564.971995736,2553565.019387934,0.047392808832228184,1472,164384
push,2,2553565.619454154,2553565.619470575,1.6491394490003586e-05,184,20548
push,96,2553566.219531105,2553566.219545231,1.4297198504209518e-05,184,20548
push,190,2553566.819609718,2553566.819626149,1.652119681239128e-05,184,20548
push,284,2553567.419689895,2553567.419703129,1.3314653187990189e-05,184,20548
push,378,2553568.019765192,2553568.019779158,1.4035962522029877e-05,184,20548
push,472,2553568.61984107,2553568.619856048,1.5058089047670364e-05,184,20548
push,566,2553569.219918942,2553569.219934622,1.5770085155963898e-05,184,20548
push,660,2553569.819996965,2553569.820006062,9.167008101940155e-06,184,20548
flush_after,660,2553569.820008106,2553569.867387751,0.04737985506653786,1472,164384
push,754,2553570.467454963,2553570.467473778,1.888629049062729e-05,184,20548
push,848,2553571.067534328,2553571.067545148,1.088995486497879e-05,184,20548
push,942,2553571.667604896,2553571.667619283,1.4448072761297226e-05,184,20548
push,1036,2553572.267682177,2553572.267700001,1.7934013158082962e-05,184,20548
push,1130,2553572.867764678,2553572.867780227,1.5649013221263885e-05,184,20548
push,1224,2553573.46784263,2553573.467856727,1.4197081327438354e-05,184,20548
push,1318,2553574.067918278,2553574.067933066,1.4848075807094574e-05,184,20548
push,1412,2553574.667995319,2553574.668009245,1.3996381312608719e-05,184,20548
flush_after,1412,2553574.668012341,2553574.715389361,0.047377290204167366,1472,164384
push,3,2553575.315457064,2553575.315474326,1.7321668565273285e-05,184,20548
push,97,2553575.915535046,2553575.915550024,1.5068333595991135e-05,184,20548
push,191,2553576.515622165,2553576.515637534,1.5438999980688095e-05,184,20548
push,285,2553577.115700368,2553577.115714084,1.3786368072032928e-05,184,20548
push,379,2553577.715775966,2553577.71578857,1.27437524497509e-05,184,20548
push,473,2553578.315850171,2553578.315864418,1.4306977391242981e-05,184,20548
push,567,2553578.91592651,2553578.915939525,1.3085082173347473e-05,184,20548
push,661,2553579.516001697,2553579.516015483,1.3865996152162552e-05,184,20548
flush_after,661,2553579.516018078,2553579.563387364,0.04736950667575002,1472,164384
