type,projection_id,start,stop,duration,metadata_size,data_size
push,0,2554930.184143108,2554930.184165049,2.2061169147491455e-05,272,10240
push,0,2554930.184169076,2554930.184176109,7.153954356908798e-06,272,10240
flush_after,0,2554930.184178694,2554930.231641616,0.0474632428959012,544,20480
push,94,2554930.231818668,2554930.231828467,9.908806532621384e-06,272,10240
push,94,2554930.231830601,2554930.231835299,4.808884114027023e-06,272,10240
flush_after,94,2554930.231837013,2554930.27963895,0.047802168410271406,544,20480
push,188,2554930.279801986,2554930.279811204,9.347684681415558e-06,272,10240
push,188,2554930.279815201,2554930.279820391,5.319714546203613e-06,272,10240
flush_after,188,2554930.279822375,2554930.323637691,0.04381564678624272,544,20480
push,282,2554930.323810506,2554930.323819543,9.11671668291092e-06,272,10240
push,282,2554930.323820885,2554930.323825273,4.4889748096466064e-06,272,10240
flush_after,282,2554930.323826456,2554930.363640454,0.03981433901935816,544,20480
push,376,2554930.363797048,2554930.363805935,8.956994861364365e-06,272,10240
push,376,2554930.363807288,2554930.363811866,4.707835614681244e-06,272,10240
flush_after,376,2554930.363812988,2554930.37164759,0.007834781892597675,544,20480
push,470,2554930.371794906,2554930.371803542,8.706003427505493e-06,272,10240
push,470,2554930.371804845,2554930.371809012,4.26778569817543e-06,272,10240
flush_after,470,2554930.371810054,2554930.415637544,0.04382767016068101,544,20480
push,564,2554930.415792475,2554930.415801091,8.69622454047203e-06,272,10240
push,564,2554930.415802313,2554930.415806461,4.2477622628211975e-06,272,10240
flush_after,564,2554930.415807523,2554930.463638335,0.0478310021571815,544,20480
push,658,2554930.46379526,2554930.463803685,8.495058864355087e-06,272,10240
push,658,2554930.463804898,2554930.463808985,4.156958311796188e-06,272,10240
flush_after,658,2554930.463809937,2554930.507640923,0.043831187300384045,544,20480
push,752,2554930.507787949,2554930.507797006,9.13720577955246e-06,272,10240
push,752,2554930.507798259,2554930.507803258,5.088746547698975e-06,272,10240
flush_after,752,2554930.50780428,2554930.575633908,0.06783002894371748,544,20480
push,846,2554930.575777788,2554930.575787015,9.296927601099014e-06,272,10240
push,846,2554930.575788207,2554930.575802414,1.4277175068855286e-05,272,10240
flush_after,846,2554930.575803787,2554930.635635989,0.05983242206275463,544,20480
push,940,2554930.635774989,2554930.635784117,9.187962859869003e-06,272,10240
push,940,2554930.635785289,2554930.635789587,4.377681761980057e-06,272,10240
flush_after,940,2554930.635790599,2554930.727639298,0.09184904908761382,544,20480
push,1034,2554930.727783047,2554930.727791934,8.936971426010132e-06,272,10240
push,1034,2554930.727796743,2554930.727801592,4.91878017783165e-06,272,10240
flush_after,1034,2554930.727802734,2554930.81164018,0.08383774710819125,544,20480
push,1128,2554930.811793979,2554930.811803246,9.338371455669403e-06,272,10240
push,1128,2554930.811804489,2554930.811808867,4.447996616363525e-06,272,10240
flush_after,1128,2554930.811809819,2554930.907637224,0.09582762466743588,544,20480
push,1222,2554930.907776285,2554930.907785953,9.737908840179443e-06,272,10240
push,1222,2554930.907787105,2554930.907795591,8.556060492992401e-06,272,10240
flush_after,1222,2554930.907796703,2554931.031634217,0.1238378151319921,544,20480
push,1316,2554931.03177434,2554931.031783558,9.29785892367363e-06,272,10240
push,1316,2554931.03178478,2554931.031789439,4.759058356285095e-06,272,10240
