type,size,duration
wait_t,1,4.859e-06
wait_t,1,4.81e-07
wait_t,1,3.31e-07
wait_t,1,2.5e-07
mata_t,133,5e-08
data_t,10240,2.104e-06
mata_t,132,1.2e-07
data_t,10240,2.3e-07
mata_t,133,6e-08
data_t,10240,1.71e-07
mata_t,132,1.7e-07
data_t,10240,1.3e-07
wait_t,1,5.07e-06
wait_t,1,2.094e-06
wait_t,1,5.11e-07
wait_t,1,4.2e-07
mata_t,132,6e-08
data_t,10240,5.21e-07
mata_t,132,5e-08
data_t,10240,5.41e-07
mata_t,131,5e-08
data_t,10240,1.4e-07
mata_t,132,5e-08
data_t,10240,1.2e-07
wait_t,1,5.18e-06
wait_t,1,4.01e-07
wait_t,1,4.91e-07
wait_t,1,6.91e-07
mata_t,132,7e-08
data_t,10240,5.21e-07
mata_t,132,6e-08
data_t,10240,1.2e-07
mata_t,133,5e-08
data_t,10240,1.2e-07
mata_t,133,5e-08
data_t,10240,1.1e-07
wait_t,1,5.059e-06
wait_t,1,5.61e-07
wait_t,1,5.01e-07
wait_t,1,2.9e-07
mata_t,133,6e-08
data_t,10240,4.31e-07
mata_t,134,1.6e-07
data_t,10240,3e-08
mata_t,134,1.2e-07
data_t,10240,1.11e-07
mata_t,134,1.1e-07
data_t,10240,3e-08
wait_t,1,4.809e-06
wait_t,1,8.82e-07
wait_t,1,5.01e-07
wait_t,1,3.4e-07
mata_t,133,5e-08
data_t,10240,5.11e-07
mata_t,133,6e-08
data_t,10240,3e-08
mata_t,134,4e-08
data_t,10240,1.3e-07
mata_t,133,6e-08
data_t,10240,3e-08
wait_t,1,3.176e-06
wait_t,1,4.51e-07
wait_t,1,4.31e-07
wait_t,1,6.41e-07
mata_t,133,5.1e-08
data_t,10240,2.01e-07
mata_t,133,5e-08
data_t,10240,4e-08
mata_t,133,4e-08
data_t,10240,2e-07
mata_t,133,5e-08
data_t,10240,4e-08
wait_t,1,5.741e-06
wait_t,1,3.21e-07
wait_t,1,3.61e-07
wait_t,1,3.81e-07
mata_t,133,6e-08
data_t,10240,4.31e-07
mata_t,133,5e-08
data_t,10240,3e-08
mata_t,133,3e-08
data_t,10240,1.1e-07
mata_t,134,5e-08
data_t,10240,3e-08
wait_t,1,5.11e-06
wait_t,1,6.71e-07
wait_t,1,4.51e-07
wait_t,1,2.1e-07
mata_t,133,7.1e-08
data_t,10240,5.01e-07
mata_t,133,5e-08
data_t,10240,3e-08
mata_t,134,5e-08
data_t,10240,1.1e-07
mata_t,134,6e-08
data_t,10240,1.11e-07
wait_t,1,5.119e-06
wait_t,1,4.21e-07
wait_t,1,2.91e-07
wait_t,1,6.51e-07
mata_t,133,6e-08
data_t,10240,5.81e-07
mata_t,133,5e-08
data_t,10240,3e-08
mata_t,133,6e-08
data_t,10240,1.2e-07
mata_t,133,6e-08
data_t,10240,4.1e-08
wait_t,1,3.106e-06
wait_t,1,3.2e-07
wait_t,1,3.7e-07
wait_t,1,2.81e-07
mata_t,132,7e-08
data_t,10240,2.8e-07
mata_t,133,5e-08
data_t,10240,1.2e-07
mata_t,132,4e-08
data_t,10240,1.11e-07
mata_t,133,5e-08
data_t,10240,4e-08
wait_t,1,5.009e-06
wait_t,1,9.12e-07
wait_t,1,5.41e-07
wait_t,1,2.71e-07
mata_t,132,6e-08
data_t,10240,8.42e-07
mata_t,133,6e-08
data_t,10240,4e-08
mata_t,133,4e-08
data_t,10240,1.1e-07
mata_t,134,5e-08
data_t,10240,1.11e-07
wait_t,1,4.769e-06
wait_t,1,3.61e-07
wait_t,1,4.31e-07
wait_t,1,8.32e-07
mata_t,133,7e-08
data_t,10240,4.31e-07
mata_t,132,6e-08
data_t,10240,4e-08
mata_t,133,3e-08
data_t,10240,1.1e-07
mata_t,134,7e-08
data_t,10240,5.1e-08
wait_t,1,4.779e-06
wait_t,1,3.81e-07
wait_t,1,3.7e-07
wait_t,1,3.3e-07
mata_t,133,5e-08
data_t,10240,4.9e-07
mata_t,133,6.1e-08
data_t,10240,4e-08
mata_t,134,1.21e-07
data_t,10240,1.61e-07
mata_t,133,6e-08
data_t,10240,4e-08
wait_t,1,3.406e-06
wait_t,1,7.32e-07
wait_t,1,3.71e-07
wait_t,1,2.1e-07
mata_t,133,6e-08
data_t,10240,2.7e-07
mata_t,133,4e-08
data_t,10240,1.1e-07
mata_t,133,3.1e-08
data_t,10240,1.11e-07
mata_t,133,7.1e-08
data_t,10240,4e-08
wait_t,1,5.239e-06
wait_t,1,3.91e-07
wait_t,1,3.1e-07
