type,index,start,stop,duration,metadata_size,data_size
push,0,1258030.583416417,1258030.583483071,6.681494414806366e-05,184,20540
push,94,1258031.183551077,1258031.18357984,2.8943875804543495e-05,184,20548
push,188,1258031.783642926,1258031.783661541,1.8764985725283623e-05,184,20548
push,282,1258032.38372646,1258032.383741118,1.4738179743289948e-05,184,20548
push,376,1258032.983804985,1258032.983821326,1.6451114788651466e-05,184,20548
push,470,1258033.583885294,1258033.583898608,1.343502663075924e-05,184,20548
push,564,1258034.183960072,1258034.183976152,1.6239937394857407e-05,184,20548
push,658,1258034.78404592,1258034.784060027,1.4256918802857399e-05,184,20548
push,752,1258035.384124265,1258035.38413787,1.3696029782295227e-05,184,20548
push,846,1258035.984198371,1258035.984211857,1.3546086847782135e-05,184,20548
push,940,1258036.584273901,1258036.584287406,1.3594981282949448e-05,184,20548
push,1034,1258037.184343429,1258037.184358727,1.5388010069727898e-05,184,20548
push,1128,1258037.784422064,1258037.784433786,1.1791940778493881e-05,184,20548
push,1222,1258038.384493125,1258038.384503284,1.0239193215966225e-05,184,20548
push,1316,1258038.984563495,1258038.984575828,1.2392876669764519e-05,184,20548
push,1410,1258039.58463682,1258039.584651597,1.4846911653876305e-05,184,20548
push,1,1258040.184713331,1258040.184731064,1.7802929505705833e-05,184,20548
push,95,1258040.784792667,1258040.784810691,1.8164049834012985e-05,184,20548
push,189,1258041.384874227,1258041.384887172,1.3055047020316124e-05,184,20548
push,283,1258041.984948875,1258041.984963653,1.485808752477169e-05,184,20548
push,377,1258042.585025325,1258042.585036175,1.0930933058261871e-05,184,20548
push,471,1258043.185095465,1258043.185110413,1.5008030459284782e-05,184,20548
push,565,1258043.785171676,1258043.785182807,1.1180993169546127e-05,184,20548
push,659,1258044.385243339,1258044.385258257,1.4998018741607666e-05,184,20548
push,753,1258044.985320953,1258044.985337544,1.667207106947899e-05,184,20548
push,847,1258045.585402665,1258045.585417733,1.5147961676120758e-05,184,20548
push,941,1258046.18548087,1258046.185499384,1.8583843484520912e-05,184,20548
push,1035,1258046.785562742,1258046.785577029,1.4377059414982796e-05,184,20548
push,1129,1258047.385639444,1258047.385654653,1.5279045328497887e-05,184,20548
push,1223,1258047.985718,1258047.985733018,1.5097903087735176e-05,184,20548
push,1317,1258048.585794722,1258048.585807676,1.3035023584961891e-05,184,20548
push,1411,1258049.185870322,1258049.185887144,1.6892096027731895e-05,184,20548
push,2,1258049.785951363,1258049.785969557,1.826416701078415e-05,184,20548
push,96,1258050.386030119,1258050.38604684,1.685204915702343e-05,184,20548
push,190,1258050.986109115,1258050.986125125,1.6161007806658745e-05,184,20548
push,284,1258051.586187922,1258051.58620306,1.519802026450634e-05,184,20548
push,378,1258052.186276466,1258052.186292576,1.6200123354792595e-05,184,20548
push,472,1258052.786356545,1258052.786372274,1.5808967873454094e-05,184,20548
push,566,1258053.386434499,1258053.386454306,1.9868137314915657e-05,184,20548
push,660,1258053.986518896,1258053.986532471,1.3635028153657913e-05,184,20548
push,754,1258054.586595909,1258054.586610847,1.4998018741607666e-05,184,20548
push,848,1258055.186672772,1258055.186687118,1.4416873455047607e-05,184,20548
push,942,1258055.786749333,1258055.786768359,1.9126106053590775e-05,184,20548
push,1036,1258056.386831486,1258056.386844841,1.3415003195405006e-05,184,20548
push,1130,1258056.986906294,1258056.986920311,1.4076940715312958e-05,184,20548
push,1224,1258057.586981093,1258057.58699536,1.4316989108920097e-05,184,20548
push,1318,1258058.187060591,1258058.187073224,1.2713950127363205e-05,184,20548
push,1412,1258058.787141551,1258058.787155637,1.415587030351162e-05,184,20548
push,3,1258059.38722196,1258059.387240866,1.89861748367548e-05,184,20548
push,97,1258059.98730243,1258059.9873187,1.6330042853951454e-05,184,20548
push,191,1258060.587381817,1258060.587397927,1.619011163711548e-05,184,20548
push,285,1258061.187462206,1258061.187484828,2.2731954231858253e-05,184,20548
push,379,1258061.787552684,1258061.787573764,2.1159881725907326e-05,184,20548
push,473,1258062.38763694,1258062.387653171,1.6340985894203186e-05,184,20548
push,567,1258062.987716288,1258062.987732147,1.5968922525644302e-05,184,20548
push,661,1258063.587795244,1258063.58780898,1.3805925846099854e-05,184,20548
push,755,1258064.187869702,1258064.187881444,1.1811964213848114e-05,184,20548
push,849,1258064.787941696,1258064.787962444,2.0839041098952293e-05,184,20548
push,943,1258065.388029479,1258065.388046371,1.698196865618229e-05,184,20548
push,1037,1258065.988109968,1258065.988127271,1.737312413752079e-05,184,20548
push,1131,1258066.588194565,1258066.588209533,1.5018042176961899e-05,184,20548
push,1225,1258067.188273521,1258067.188289321,1.5860190615057945e-05,184,20548
push,1319,1258067.788342379,1258067.788360313,1.8003862351179123e-05,184,20548
push,1413,1258068.388423951,1258068.388438859,1.4987774193286896e-05,184,20548
push,4,1258068.988501935,1258068.988524417,2.256198786199093e-05,184,20548
push,98,1258069.58859061,1258069.588603875,1.3425014913082123e-05,184,20548
push,192,1258070.188665559,1258070.188681038,1.554889604449272e-05,184,20548
push,286,1258070.788745527,1258070.788768651,2.328399568796158e-05,184,20548
push,380,1258071.388837598,1258071.388854129,1.6650883480906487e-05,184,20548
push,474,1258071.988918158,1258071.988934699,1.660105772316456e-05,184,20548
push,568,1258072.588996644,1258072.589011301,1.4747027307748795e-05,184,20548
push,662,1258073.18907572,1258073.189095697,2.008792944252491e-05,184,20548
push,756,1258073.789161129,1258073.789180475,1.942599192261696e-05,184,20548
push,850,1258074.389244424,1258074.38925841,1.4116056263446808e-05,184,20548
push,944,1258074.989319853,1258074.989335883,1.6079982742667198e-05,184,20548
push,1038,1258075.589398369,1258075.589413247,1.4947960153222084e-05,184,20548
push,1132,1258076.189475653,1258076.189493306,1.774309203028679e-05,184,20548
push,1226,1258076.789557584,1258076.789574416,1.6941921785473824e-05,184,20548
push,1320,1258077.389637472,1258077.389655646,1.8244842067360878e-05,184,20548
push,1414,1258077.989718984,1258077.989734894,1.5979865565896034e-05,184,20548
push,5,1258078.589802078,1258078.589817718,1.5700003132224083e-05,184,20548
push,99,1258079.189881395,1258079.1898998,1.85349490493536e-05,184,20548
push,193,1258079.78996442,1258079.789979728,1.5538884326815605e-05,184,20548
push,287,1258080.390042845,1258080.390059496,1.6730977222323418e-05,184,20548
push,381,1258080.990121641,1258080.990138613,1.7072074115276337e-05,184,20548
push,475,1258081.590201168,1258081.590215385,1.4276942238211632e-05,184,20548
push,569,1258082.190287028,1258082.19030387,1.6902107745409012e-05,184,20548
push,663,1258082.790370964,1258082.790386964,1.6059959307312965e-05,184,20548
push,757,1258083.390451092,1258083.390475268,2.4295877665281296e-05,184,20548
push,851,1258083.990543624,1258083.990560155,1.6601989045739174e-05,184,20548
push,945,1258084.590623924,1258084.590640986,1.713191159069538e-05,184,20548
push,1039,1258085.190705795,1258085.190723769,1.8083956092596054e-05,184,20548
push,1133,1258085.790788699,1258085.790803808,1.5179160982370377e-05,184,20548
push,1227,1258086.390865783,1258086.390888816,2.3123109713196754e-05,184,20548
push,1321,1258086.990956511,1258086.990971419,1.4977995306253433e-05,184,20548
push,1415,1258087.591032712,1258087.591048251,1.560896635055542e-05,184,20548
push,6,1258088.19111251,1258088.191131265,1.8865102902054787e-05,184,20548
push,100,1258088.791197508,1258088.79122493,2.7521979063749313e-05,184,20548
push,194,1258089.391292254,1258089.391307773,1.5649013221263885e-05,184,20548
push,288,1258089.991371341,1258089.991387982,1.6730977222323418e-05,184,20548
push,382,1258090.591450839,1258090.591469484,1.8724938854575157e-05,184,20548
