Type,Size,Duration
wait_t,1,160.318
wait_t,1,0.0397428
wait_t,1,0.0319238
wait_t,1,0.031985
mata_t,133,1.6e-07
data_t,20480,1.462e-06
mata_t,132,2.1e-07
data_t,20480,1.3e-07
mata_t,133,1e-07
data_t,20480,5e-08
mata_t,132,9e-08
data_t,20480,5e-08
wait_t,1,3.517e-06
wait_t,1,2.004e-06
wait_t,1,5.31e-07
wait_t,1,7.41e-07
mata_t,132,5e-08
data_t,20480,2.7e-07
mata_t,132,1.11e-07
data_t,20480,1.11e-07
mata_t,131,7e-08
data_t,20480,1.1e-07
mata_t,132,6.1e-08
data_t,20480,3e-08
wait_t,1,5.751e-06
wait_t,1,7.92e-07
wait_t,1,6.22e-07
wait_t,1,8.11e-07
mata_t,133,1e-07
data_t,20480,3.7e-07
mata_t,132,1e-07
data_t,20480,1.2e-07
mata_t,133,6e-08
data_t,20480,5e-08
mata_t,133,9e-08
data_t,20480,1.2e-07
wait_t,1,5.841e-06
wait_t,1,6.71e-07
wait_t,1,3.71e-07
wait_t,1,7.21e-07
mata_t,133,7e-08
data_t,20480,4.6e-07
mata_t,134,9e-08
data_t,20480,4e-08
mata_t,134,8e-08
data_t,20480,3e-08
mata_t,134,7e-08
data_t,20480,3e-08
wait_t,1,5.73e-06
wait_t,1,1.032e-06
wait_t,1,6.01e-07
wait_t,1,5.01e-07
mata_t,133,8.1e-08
data_t,20480,6.32e-07
mata_t,133,8e-08
data_t,20480,5e-08
mata_t,134,7e-08
data_t,20480,3e-08
mata_t,133,7.1e-08
data_t,20480,3e-08
wait_t,1,4.018e-06
wait_t,1,4.51e-07
wait_t,1,4.41e-07
wait_t,1,8.11e-07
mata_t,133,5e-08
data_t,20480,4.31e-07
mata_t,133,9e-08
data_t,20480,5e-08
mata_t,133,7e-08
data_t,20480,3e-08
mata_t,133,8.1e-08
data_t,20480,3e-08
wait_t,1,6.002e-06
wait_t,1,6.21e-07
wait_t,1,7.21e-07
wait_t,1,5.81e-07
mata_t,133,9e-08
data_t,20480,3.61e-07
mata_t,133,7e-08
data_t,20480,4e-08
mata_t,133,6e-08
data_t,20480,4.1e-08
mata_t,134,1.31e-07
data_t,20480,3.1e-08
wait_t,1,6.181e-06
wait_t,1,7.91e-07
wait_t,1,5.61e-07
wait_t,1,3.71e-07
mata_t,133,7e-08
data_t,20480,3.9e-07
mata_t,133,1.2e-07
data_t,20480,4e-08
mata_t,134,6e-08
data_t,20480,3e-08
mata_t,134,7e-08
data_t,20480,3e-08
wait_t,1,5.781e-06
wait_t,1,5.01e-07
wait_t,1,4.11e-07
wait_t,1,1.282e-06
mata_t,133,6e-08
data_t,20480,3.7e-07
mata_t,133,1.01e-07
data_t,20480,4e-08
mata_t,133,8e-08
data_t,20480,4e-08
mata_t,133,6e-08
data_t,20480,1.1e-07
wait_t,1,4.168e-06
wait_t,1,4.51e-07
wait_t,1,5.61e-07
wait_t,1,5.01e-07
mata_t,132,6e-08
data_t,20480,1.81e-07
mata_t,133,8e-08
data_t,20480,3e-08
mata_t,132,7e-08
data_t,20480,3e-08
mata_t,133,7e-08
data_t,20480,4e-08
wait_t,1,5.931e-06
wait_t,1,1.202e-06
wait_t,1,5.41e-07
wait_t,1,3.5e-07
mata_t,132,9e-08
data_t,20480,5.11e-07
mata_t,133,9e-08
data_t,20480,1.7e-07
mata_t,133,8.1e-08
data_t,20480,4e-08
mata_t,134,8e-08
data_t,20480,2e-08
wait_t,1,5.671e-06
wait_t,1,5.31e-07
wait_t,1,4.71e-07
wait_t,1,9.12e-07
mata_t,133,8.1e-08
data_t,20480,3.71e-07
mata_t,132,1.11e-07
data_t,20480,3e-08
mata_t,133,5e-08
data_t,20480,4e-08
mata_t,134,7e-08
data_t,20480,1.1e-07
wait_t,1,6.241e-06
wait_t,1,6.41e-07
wait_t,1,4.81e-07
wait_t,1,9.22e-07
mata_t,133,1e-07
data_t,20480,3.71e-07
mata_t,133,7e-08
data_t,20480,3e-08
mata_t,134,7e-08
data_t,20480,3e-08
mata_t,133,8e-08
data_t,20480,3e-08
wait_t,1,3.677e-06
wait_t,1,9.52e-07
wait_t,1,5.01e-07
wait_t,1,3.61e-07
mata_t,133,9e-08
data_t,20480,3.21e-07
mata_t,133,7e-08
data_t,20480,3e-08
mata_t,133,8e-08
data_t,20480,4e-08
mata_t,133,6e-08
data_t,20480,3e-08
wait_t,1,5.581e-06
wait_t,1,4.51e-07
wait_t,1,3.31e-07
wait_t,1,1.072e-06
mata_t,133,6e-08
data_t,20480,3.81e-07
mata_t,133,9e-08
data_t,20480,4e-08
mata_t,133,8.1e-08
data_t,20480,4e-08
mata_t,134,7e-08
data_t,20480,3e-08
wait_t,1,5.801e-06
wait_t,1,3.6e-07
wait_t,1,4.5e-07
wait_t,1,5.61e-07
mata_t,134,8e-08
data_t,20480,3.8e-07
mata_t,133,7e-08
data_t,20480,4e-08
mata_t,133,8e-08
data_t,20480,3e-08
mata_t,133,7e-08
data_t,20480,3e-08
wait_t,1,5.631e-06
wait_t,1,1.283e-06
wait_t,1,3.81e-07
wait_t,1,4.41e-07
mata_t,133,7.1e-08
data_t,20480,4.6e-07
mata_t,131,7e-08
data_t,20480,4.1e-08
mata_t,134,6.1e-08
data_t,20480,4e-08
mata_t,133,7e-08
data_t,20480,3e-08
wait_t,1,3.206e-06
wait_t,1,5.61e-07
wait_t,1,5.62e-07
wait_t,1,9.41e-07
mata_t,133,6e-08
data_t,20480,1.81e-07
mata_t,133,1.11e-07
data_t,20480,4e-08
mata_t,133,9e-08
data_t,20480,3e-08
mata_t,133,8e-08
data_t,20480,4e-08
wait_t,1,5.37e-06
wait_t,1,6.61e-07
wait_t,1,2.61e-07
wait_t,1,3.91e-07
mata_t,130,7e-08
data_t,20480,3.61e-07
mata_t,133,1.11e-07
data_t,20480,4e-08
mata_t,133,6e-08
data_t,20480,3e-08
mata_t,134,6e-08
data_t,20480,3e-08
wait_t,1,5.841e-06
wait_t,1,9.12e-07
wait_t,1,4.91e-07
wait_t,1,5.01e-07
mata_t,134,6.1e-08
data_t,20480,7.51e-07
mata_t,134,9.1e-08
