push,projection_id,start,stop,duration,metadata_size,data_size
"['push', 0, 1258462.627295282, 1258462.627325438, 3.0276132747530937e-05, 272, 20480]"
"['push', 94, 1258462.659094602, 1258462.65910471, 1.0198913514614105e-05, 272, 20480]"
"['push', 188, 1258462.691089929, 1258462.691099977, 1.015886664390564e-05, 272, 20480]"
"['push', 282, 1258462.723079605, 1258462.723089033, 9.53790731728077e-06, 272, 20480]"
"['push', 376, 1258462.759088191, 1258462.75909804, 9.979121387004852e-06, 272, 20480]"
"['push', 470, 1258462.791080823, 1258462.79109008, 9.346986189484596e-06, 272, 20480]"
"['push', 564, 1258462.823074577, 1258462.823083624, 9.13720577955246e-06, 272, 20480]"
"['push', 658, 1258462.85908148, 1258462.859090447, 9.047100320458412e-06, 272, 20480]"
"['push', 752, 1258462.871064602, 1258462.871073969, 9.458046406507492e-06, 272, 20480]"
"['push', 846, 1258462.903041584, 1258462.903050491, 9.007053449749947e-06, 272, 20480]"
"['push', 940, 1258462.927652754, 1258462.927662142, 9.458046406507492e-06, 272, 20480]"
"['push', 1034, 1258462.939058315, 1258462.939067232, 8.987030014395714e-06, 272, 20480]"
"['push', 1128, 1258462.971041059, 1258462.971049875, 8.887145668268204e-06, 272, 20480]"
"['push', 1222, 1258463.003082833, 1258463.00309169, 8.956994861364365e-06, 272, 20480]"
"['push', 1316, 1258463.027701778, 1258463.027710083, 8.37491825222969e-06, 272, 20480]"
"['push', 1410, 1258463.039047577, 1258463.039056414, 8.926959708333015e-06, 272, 20480]"
"['push', 1, 1258463.071063282, 1258463.07107305, 9.848037734627724e-06, 272, 20480]"
"['push', 95, 1258463.103041086, 1258463.103049873, 8.866889402270317e-06, 272, 20480]"
"['push', 189, 1258463.159048923, 1258463.159057739, 8.885981515049934e-06, 272, 20480]"
"['push', 283, 1258463.167052579, 1258463.167061075, 8.595874533057213e-06, 272, 20480]"
"['push', 377, 1258463.199044229, 1258463.199052885, 8.71601514518261e-06, 272, 20480]"
"['push', 471, 1258463.2278191, 1258463.227827996, 8.976086974143982e-06, 272, 20480]"
"['push', 565, 1258463.259049656, 1258463.259058332, 8.755829185247421e-06, 272, 20480]"
"['push', 659, 1258463.291039392, 1258463.291048158, 8.816132321953773e-06, 272, 20480]"
"['push', 753, 1258463.323051941, 1258463.323060828, 8.976785466074944e-06, 272, 20480]"
"['push', 847, 1258463.359049677, 1258463.359058484, 8.887145668268204e-06, 272, 20480]"
"['push', 941, 1258463.367045579, 1258463.367054074, 8.566072210669518e-06, 272, 20480]"
"['push', 1035, 1258463.399064008, 1258463.399072705, 8.767005056142807e-06, 272, 20480]"
"['push', 1129, 1258463.427911906, 1258463.427920542, 8.726026862859726e-06, 272, 20480]"
"['push', 1223, 1258463.459046663, 1258463.459055269, 8.695991709828377e-06, 272, 20480]"
"['push', 1317, 1258463.49104756, 1258463.491056136, 8.655944839119911e-06, 272, 20480]"
"['push', 1411, 1258463.522995458, 1258463.523003864, 8.47596675157547e-06, 272, 20480]","['flush_after', 1411, 1258463.523005737, 1258463.546911638, 0.023906382033601403, 8704, 655360]"
"['push', 2, 1258481.887137902, 1258481.887154694, 1.695193350315094e-05, 272, 20480]"
"['push', 96, 1258481.895032512, 1258481.89504223, 9.807990863919258e-06, 272, 20480]"
"['push', 190, 1258481.927018759, 1258481.927028327, 9.658979251980782e-06, 272, 20480]"
"['push', 284, 1258481.957035679, 1258481.957044235, 8.666189387440681e-06, 272, 20480]"
"['push', 378, 1258481.979050437, 1258481.979059765, 9.397976100444794e-06, 272, 20480]"
"['push', 472, 1258481.991014457, 1258481.991023163, 8.775852620601654e-06, 272, 20480]"
"['push', 566, 1258482.0230147, 1258482.023023577, 8.946983143687248e-06, 272, 20480]"
"['push', 660, 1258482.055013811, 1258482.055022137, 8.396105840802193e-06, 272, 20480]"
"['push', 754, 1258482.099014833, 1258482.099024521, 9.757932275533676e-06, 272, 20480]"
"['push', 848, 1258482.115012666, 1258482.115020861, 8.27503390610218e-06, 272, 20480]"
"['push', 942, 1258482.147015514, 1258482.14702443, 8.987030014395714e-06, 272, 20480]"
"['push', 1036, 1258482.167090209, 1258482.167099437, 9.318115189671516e-06, 272, 20480]"
"['push', 1130, 1258482.183011939, 1258482.1830234, 1.1560972779989243e-05, 272, 20480]"
"['push', 1224, 1258482.215020308, 1258482.215028984, 8.766073733568192e-06, 272, 20480]"
"['push', 1318, 1258482.247031311, 1258482.247039767, 8.546048775315285e-06, 272, 20480]"
"['push', 1412, 1258482.267126054, 1258482.26713462, 8.656876161694527e-06, 272, 20480]"
"['push', 3, 1258482.283011165, 1258482.283020472, 9.377021342515945e-06, 272, 20480]"
"['push', 97, 1258482.315010797, 1258482.315019193, 8.465955033898354e-06, 272, 20480]"
"['push', 191, 1258482.347009908, 1258482.347018344, 8.516013622283936e-06, 272, 20480]"
"['push', 285, 1258482.367182327, 1258482.367191094, 8.867122232913971e-06, 272, 20480]"
"['push', 379, 1258482.38300984, 1258482.383018166, 8.405884727835655e-06, 272, 20480]"
"['push', 473, 1258482.415012147, 1258482.415020793, 8.746050298213959e-06, 272, 20480]"
"['push', 567, 1258482.447036786, 1258482.447045302, 8.596107363700867e-06, 272, 20480]"
"['push', 661, 1258482.467248048, 1258482.467256654, 8.707167580723763e-06, 272, 20480]"
"['push', 755, 1258482.483009657, 1258482.483018003, 8.426140993833542e-06, 272, 20480]"
"['push', 849, 1258482.515027524, 1258482.51503611, 8.675968274474144e-06, 272, 20480]"
"['push', 943, 1258482.547012839, 1258482.547020944, 8.1649050116539e-06, 272, 20480]"
"['push', 1037, 1258482.567304562, 1258482.567313148, 8.675968274474144e-06, 272, 20480]"
"['push', 1131, 1258482.583015225, 1258482.583023841, 8.695991709828377e-06, 272, 20480]"
"['push', 1225, 1258482.615035496, 1258482.615044042, 8.606119081377983e-06, 272, 20480]"
"['push', 1319, 1258482.647039436, 1258482.647048092, 8.726026862859726e-06, 272, 20480]"
"['push', 1413, 1258482.667327011, 1258482.667335587, 8.67689959704876e-06, 272, 20480]","['flush_after', 1413, 1258482.66733717, 1258482.746885454, 0.07954876497387886, 8704, 655360]"
"['push', 4, 1258501.127122856, 1258501.127138846, 1.612096093595028e-05, 272, 20480]"
"['push', 98, 1258501.156994654, 1258501.157003881, 9.30693931877613e-06, 272, 20480]"
"['push', 192, 1258501.187021152, 1258501.187030129, 9.056879207491875e-06, 272, 20480]"
"['push', 286, 1258501.219021054, 1258501.219029911, 8.936971426010132e-06, 272, 20480]"
"['push', 380, 1258501.25102251, 1258501.251031898, 9.468058124184608e-06, 272, 20480]"
"['push', 474, 1258501.28701581, 1258501.287024466, 8.726026862859726e-06, 272, 20480]"
"['push', 568, 1258501.31901459, 1258501.319023467, 8.936971426010132e-06, 272, 20480]"
"['push', 662, 1258501.351009954, 1258501.35101861, 8.726026862859726e-06, 272, 20480]"
"['push', 756, 1258501.387016758, 1258501.387025876, 9.187962859869003e-06, 272, 20480]"
"['push', 850, 1258501.399010605, 1258501.399019231, 8.726026862859726e-06, 272, 20480]"
"['push', 944, 1258501.431009375, 1258501.431017841, 8.556060492992401e-06, 272, 20480]"
"['push', 1038, 1258501.457142203, 1258501.457150669, 8.535804226994514e-06, 272, 20480]"
"['push', 1132, 1258501.467014917, 1258501.467023613, 8.767005056142807e-06, 272, 20480]"
"['push', 1226, 1258501.499014088, 1258501.499023045, 9.047100320458412e-06, 272, 20480]"
"['push', 1320, 1258501.531017087, 1258501.531026033, 9.017065167427063e-06, 272, 20480]"
"['push', 1414, 1258501.557199899, 1258501.557208445, 8.636852726340294e-06, 272, 20480]"
"['push', 5, 1258501.567010527, 1258501.567019744, 9.296927601099014e-06, 272, 20480]"
"['push', 99, 1258501.599009928, 1258501.599018364, 8.536037057638168e-06, 272, 20480]"
"['push', 193, 1258501.631010141, 1258501.631018617, 8.536037057638168e-06, 272, 20480]"
"['push', 287, 1258501.657256784, 1258501.65726535, 8.636154234409332e-06, 272, 20480]"
"['push', 381, 1258501.667010584, 1258501.66701881, 8.316012099385262e-06, 272, 20480]"
"['push', 475, 1258501.699010978, 1258501.699019494, 8.625909686088562e-06, 272, 20480]"
"['push', 569, 1258501.731030648, 1258501.731039735, 9.166775271296501e-06, 272, 20480]"
"['push', 663, 1258501.757312405, 1258501.757320801, 8.485978469252586e-06, 272, 20480]"
"['push', 757, 1258501.76701488, 1258501.767023315, 8.516013622283936e-06, 272, 20480]"
"['push', 851, 1258501.799010424, 1258501.799019311, 8.956994861364365e-06, 272, 20480]"
"['push', 945, 1258501.831043489, 1258501.831052666, 9.266892448067665e-06, 272, 20480]"
"['push', 1039, 1258501.85736423, 1258501.857373027, 8.88691283762455e-06, 272, 20480]"
"['push', 1133, 1258501.867015368, 1258501.867023854, 8.595874533057213e-06, 272, 20480]"
"['push', 1227, 1258501.899007897, 1258501.899016343, 8.546048775315285e-06, 272, 20480]"
"['push', 1321, 1258501.931021084, 1258501.931029921, 8.916947990655899e-06, 272, 20480]"
"['push', 1415, 1258501.957391809, 1258501.957400065, 8.336035534739494e-06, 272, 20480]","['flush_after', 1415, 1258501.957401478, 1258501.978940953, 0.021539796143770218, 8704, 655360]"
"['push', 6, 1258520.375119927, 1258520.375135366, 1.554889604449272e-05, 272, 20480]"
"['push', 100, 1258520.403022596, 1258520.403031743, 9.217066690325737e-06, 272, 20480]"
"['push', 194, 1258520.435014104, 1258520.435023, 8.976086974143982e-06, 272, 20480]"
"['push', 288, 1258520.467014779, 1258520.467023415, 8.755829185247421e-06, 272, 20480]"
"['push', 382, 1258520.489090858, 1258520.489100045, 9.256880730390549e-06, 272, 20480]"
