Type,Size,Duration
wait_t,1,39.4954
wait_t,1,0.0292796
wait_t,1,0.0623454
wait_t,1,0.0319907
mata_t,133,5e-08
data_t,20480,1.333e-06
mata_t,132,2.1e-07
data_t,20480,1.61e-07
mata_t,133,1.2e-07
data_t,20480,7e-08
mata_t,132,1.2e-07
data_t,20480,8e-08
wait_t,1,3.857e-06
wait_t,1,1.753e-06
wait_t,1,6.51e-07
wait_t,1,5.11e-07
mata_t,132,6e-08
data_t,20480,2.21e-07
mata_t,132,8e-08
data_t,20480,1.3e-07
mata_t,131,9e-08
data_t,20480,1.2e-07
mata_t,132,9.1e-08
data_t,20480,5e-08
wait_t,1,5.82e-06
wait_t,1,8.92e-07
wait_t,1,5.51e-07
wait_t,1,7.11e-07
mata_t,133,6e-08
data_t,20480,4.51e-07
mata_t,132,8e-08
data_t,20480,1.3e-07
mata_t,133,1e-07
data_t,20480,7e-08
mata_t,133,9e-08
data_t,20480,1.61e-07
wait_t,1,6.111e-06
wait_t,1,6.31e-07
wait_t,1,4.91e-07
wait_t,1,3.81e-07
mata_t,133,5e-08
data_t,20480,6.51e-07
mata_t,134,8e-08
data_t,20480,5e-08
mata_t,134,8e-08
data_t,20480,4.1e-08
mata_t,134,8.1e-08
data_t,20480,4e-08
wait_t,1,5.821e-06
wait_t,1,8.41e-07
wait_t,1,6.01e-07
wait_t,1,3.71e-07
mata_t,133,7e-08
data_t,20480,6.11e-07
mata_t,133,8e-08
data_t,20480,6e-08
mata_t,134,7e-08
data_t,20480,4e-08
mata_t,133,8e-08
data_t,20480,5e-08
wait_t,1,3.587e-06
wait_t,1,5.31e-07
wait_t,1,5.11e-07
wait_t,1,6.82e-07
mata_t,133,8e-08
data_t,20480,2.5e-07
mata_t,133,1.5e-07
data_t,20480,5e-08
mata_t,133,1.71e-07
data_t,20480,4e-08
mata_t,133,8e-08
data_t,20480,4e-08
wait_t,1,6.232e-06
wait_t,1,4.51e-07
wait_t,1,6.01e-07
wait_t,1,5.41e-07
mata_t,133,7e-08
data_t,20480,4.5e-07
mata_t,133,7e-08
data_t,20480,4e-08
mata_t,133,9e-08
data_t,20480,5e-08
mata_t,134,8e-08
data_t,20480,4e-08
wait_t,1,6.271e-06
wait_t,1,8.92e-07
wait_t,1,4.7e-07
wait_t,1,4.21e-07
mata_t,133,9e-08
data_t,20480,4.51e-07
mata_t,133,8.1e-08
data_t,20480,5e-08
mata_t,134,8e-08
data_t,20480,4e-08
mata_t,134,8e-08
data_t,20480,4e-08
wait_t,1,6.211e-06
wait_t,1,5.71e-07
wait_t,1,4.41e-07
wait_t,1,9.12e-07
mata_t,133,1.01e-07
data_t,20480,7.01e-07
mata_t,133,9e-08
data_t,20480,5e-08
mata_t,133,8e-08
data_t,20480,4e-08
mata_t,133,9e-08
data_t,20480,1.4e-07
wait_t,1,3.336e-06
wait_t,1,5.11e-07
wait_t,1,3.41e-07
wait_t,1,4.51e-07
mata_t,132,7e-08
data_t,20480,2.51e-07
mata_t,133,8e-08
data_t,20480,4e-08
mata_t,132,7.1e-08
data_t,20480,6e-08
mata_t,133,6e-08
