type,index,start,stop,duration,metadata_size,data_size
push,0,1263424.611843324,1263424.611908786,6.559188477694988e-05,184,20540
push,94,1263425.21197906,1263425.212012873,3.401399590075016e-05,184,20548
push,188,1263425.812078227,1263425.812091342,1.326482743024826e-05,184,20548
push,282,1263426.412154743,1263426.412168328,1.3706041499972343e-05,184,20548
push,376,1263427.012232701,1263427.012251807,1.9276048988103867e-05,184,20548
push,470,1263427.612317882,1263427.612333432,1.5720026567578316e-05,184,20548
push,564,1263428.2124006,1263428.212414846,1.4386838302016258e-05,184,20548
push,658,1263428.812485681,1263428.812502633,1.7132144421339035e-05,184,20548
push,752,1263429.412568328,1263429.412583276,1.506810076534748e-05,184,20548
push,846,1263430.012647438,1263430.012663418,1.6089994460344315e-05,184,20548
push,940,1263430.612725336,1263430.612741246,1.60199124366045e-05,184,20548
push,1034,1263431.212805879,1263431.212820807,1.5067867934703827e-05,184,20548
push,1128,1263431.81288566,1263431.812902552,1.698196865618229e-05,184,20548
push,1222,1263432.41296412,1263432.412977094,1.3043871149420738e-05,184,20548
push,1316,1263433.013039182,1263433.013051104,1.2001954019069672e-05,184,20548
push,1410,1263433.613112572,1263433.613129353,1.6860896721482277e-05,184,20548
push,1,1263434.213192363,1263434.213207141,1.4848075807094574e-05,184,20548
push,95,1263434.813268658,1263434.813282674,1.4116056263446808e-05,184,20548
push,189,1263435.413344051,1263435.413360151,1.6251113265752792e-05,184,20548
push,283,1263436.013424444,1263436.013438891,1.4516990631818771e-05,184,20548
push,377,1263436.613502693,1263436.613519724,1.7132144421339035e-05,184,20548
push,471,1263437.213583666,1263437.213598374,1.485808752477169e-05,184,20548
push,565,1263437.813662045,1263437.813675741,1.3816170394420624e-05,184,20548
push,659,1263438.41373818,1263438.413754671,1.6550999134778976e-05,184,20548
push,753,1263439.013818983,1263439.013835304,1.6401056200265884e-05,184,20548
push,847,1263439.613899386,1263439.613912451,1.316494308412075e-05,184,20548
push,941,1263440.213984527,1263440.214000768,1.633097417652607e-05,184,20548
push,1035,1263440.814063217,1263440.81407547,1.2333039194345474e-05,184,20548
push,1129,1263441.414136737,1263441.414148579,1.1922093108296394e-05,184,20548
push,1223,1263442.014212671,1263442.014227879,1.5279045328497887e-05,184,20548
push,1317,1263442.614289567,1263442.61430175,1.226295717060566e-05,184,20548
push,1411,1263443.214365191,1263443.214379868,1.4798017218708992e-05,184,20548
push,2,1263443.814443499,1263443.814462024,1.863483339548111e-05,184,20548
push,96,1263444.414524333,1263444.414540363,1.6179867088794708e-05,184,20548
