push,projection_id,start,stop,duration,metadata_size,data_size
"['push', 0, 1263451.812053974, 1263451.812084652, 3.092805854976177e-05, 272, 20480]"
"['push', 94, 1263451.843853322, 1263451.843863842, 1.0639894753694534e-05, 272, 20480]"
"['push', 188, 1263451.875843658, 1263451.875853276, 9.71788540482521e-06, 272, 20480]"
"['push', 282, 1263451.907847078, 1263451.907856766, 9.78889875113964e-06, 272, 20480]"
"['push', 376, 1263451.943835685, 1263451.943845613, 1.005898229777813e-05, 272, 20480]"
"['push', 470, 1263451.975835087, 1263451.975844285, 9.298091754317284e-06, 272, 20480]"
"['push', 564, 1263452.011849442, 1263452.011858149, 8.78702849149704e-06, 272, 20480]"
"['push', 658, 1263452.055840111, 1263452.055849048, 9.006820619106293e-06, 272, 20480]"
"['push', 752, 1263452.071830821, 1263452.071839958, 9.23709012567997e-06, 272, 20480]"
"['push', 846, 1263452.103799506, 1263452.103808252, 8.835922926664352e-06, 272, 20480]"
"['push', 940, 1263452.123866151, 1263452.123874748, 8.67689959704876e-06, 272, 20480]"
"['push', 1034, 1263452.139813961, 1263452.139822657, 8.797040209174156e-06, 272, 20480]"
"['push', 1128, 1263452.171801922, 1263452.171810779, 8.937204256653786e-06, 272, 20480]"
"['push', 1222, 1263452.203812907, 1263452.203821583, 8.756062015891075e-06, 272, 20480]"
"['push', 1316, 1263452.223919387, 1263452.223927893, 8.606119081377983e-06, 272, 20480]"
"['push', 1410, 1263452.239805921, 1263452.239814447, 8.637085556983948e-06, 272, 20480]"
"['push', 1, 1263452.271806526, 1263452.271815874, 9.458046406507492e-06, 272, 20480]"
"['push', 95, 1263452.303923719, 1263452.303932466, 8.836854249238968e-06, 272, 20480]"
"['push', 189, 1263452.323961561, 1263452.323969967, 8.535804226994514e-06, 272, 20480]"
"['push', 283, 1263452.339795417, 1263452.339804103, 8.786097168922424e-06, 272, 20480]"
"['push', 377, 1263452.371787967, 1263452.371796382, 8.516013622283936e-06, 272, 20480]"
"['push', 471, 1263452.403804302, 1263452.403813168, 8.956063538789749e-06, 272, 20480]"
"['push', 565, 1263452.424016871, 1263452.424025357, 8.566072210669518e-06, 272, 20480]"
"['push', 659, 1263452.439784502, 1263452.439793089, 8.68714414536953e-06, 272, 20480]"
"['push', 753, 1263452.471795537, 1263452.471803842, 8.375849574804306e-06, 272, 20480]"
"['push', 847, 1263452.503797644, 1263452.50380595, 8.395873010158539e-06, 272, 20480]"
"['push', 941, 1263452.539793915, 1263452.539802552, 8.736969903111458e-06, 272, 20480]"
"['push', 1035, 1263452.571796514, 1263452.571804769, 8.345814421772957e-06, 272, 20480]"
"['push', 1129, 1263452.603790406, 1263452.603798882, 8.556060492992401e-06, 272, 20480]"
"['push', 1223, 1263452.639801244, 1263452.63980977, 8.637085556983948e-06, 272, 20480]"
"['push', 1317, 1263452.671797191, 1263452.671805747, 8.645933121442795e-06, 272, 20480]"
"['push', 1411, 1263452.703783279, 1263452.703791414, 8.234987035393715e-06, 272, 20480]"
"['push', 2, 1263452.724166478, 1263452.724175865, 9.466893970966339e-06, 272, 20480]"
"['push', 96, 1263452.739791412, 1263452.739799928, 8.58609564602375e-06, 272, 20480]"
"['push', 190, 1263452.771794892, 1263452.771804169, 9.348150342702866e-06, 272, 20480]"
"['push', 284, 1263452.803795246, 1263452.803803762, 8.587026968598366e-06, 272, 20480]"
"['push', 378, 1263452.824219382, 1263452.824227648, 8.336035534739494e-06, 272, 20480]"
"['push', 472, 1263452.839784284, 1263452.839792609, 8.416129276156425e-06, 272, 20480]"
"['push', 566, 1263452.871784518, 1263452.871793034, 8.576083928346634e-06, 272, 20480]"
"['push', 660, 1263452.903784271, 1263452.903792557, 8.33580270409584e-06, 272, 20480]"
"['push', 754, 1263452.924273038, 1263452.924281163, 8.204951882362366e-06, 272, 20480]"
"['push', 848, 1263452.939781114, 1263452.939793327, 1.2333039194345474e-05, 272, 20480]"
"['push', 942, 1263452.971786017, 1263452.971794352, 8.394941687583923e-06, 272, 20480]"
"['push', 1036, 1263453.003804495, 1263453.003815956, 1.1601950973272324e-05, 272, 20480]"
"['push', 1130, 1263453.024354917, 1263453.024364505, 9.658047929406166e-06, 272, 20480]"
"['push', 1224, 1263453.039793212, 1263453.039802219, 9.106937795877457e-06, 272, 20480]"
"['push', 1318, 1263453.071791552, 1263453.071800008, 8.546048775315285e-06, 272, 20480]"
"['push', 1412, 1263453.103789392, 1263453.103798118, 8.806120604276657e-06, 272, 20480]"
"['push', 3, 1263453.124388125, 1263453.124396731, 8.68597999215126e-06, 272, 20480]"
"['push', 97, 1263453.139787737, 1263453.139796343, 8.695991709828377e-06, 272, 20480]"
"['push', 191, 1263453.171784434, 1263453.17179284, 8.485978469252586e-06, 272, 20480]"
"['push', 285, 1263453.203787313, 1263453.203795659, 8.435919880867004e-06, 272, 20480]"
"['push', 379, 1263453.224445769, 1263453.224454345, 8.665956556797028e-06, 272, 20480]"
"['push', 473, 1263453.239785929, 1263453.239794315, 8.465955033898354e-06, 272, 20480]"
"['push', 567, 1263453.271799619, 1263453.271807984, 8.465023711323738e-06, 272, 20480]"
"['push', 661, 1263453.303790305, 1263453.303799051, 8.825911208987236e-06, 272, 20480]"
"['push', 755, 1263453.324499745, 1263453.324508261, 8.596107363700867e-06, 272, 20480]"
"['push', 849, 1263453.339782658, 1263453.339791034, 8.44593159854412e-06, 272, 20480]"
"['push', 943, 1263453.371784195, 1263453.371792601, 8.495990186929703e-06, 272, 20480]"
"['push', 1037, 1263453.403787284, 1263453.40379568, 8.47596675157547e-06, 272, 20480]"
"['push', 1131, 1263453.42454766, 1263453.424555906, 8.326023817062378e-06, 272, 20480]"
"['push', 1225, 1263453.439785589, 1263453.439794025, 8.526025339961052e-06, 272, 20480]"
"['push', 1319, 1263453.471794119, 1263453.471802915, 8.865958079695702e-06, 272, 20480]"
"['push', 1413, 1263453.524579957, 1263453.524588933, 9.067123755812645e-06, 272, 20480]","['flush_after', 1413, 1263453.524590917, 1263453.603647804, 0.079057248076424, 17408, 1310720]"
"['push', 4, 1263490.26389758, 1263490.263914471, 1.6971956938505173e-05, 272, 20480]"
"['push', 98, 1263490.295781107, 1263490.295790505, 9.468058124184608e-06, 272, 20480]"
"['push', 192, 1263490.323702398, 1263490.323713799, 1.1491123586893082e-05, 272, 20480]"
"['push', 286, 1263490.355777024, 1263490.35578567, 8.726026862859726e-06, 272, 20480]"
"['push', 380, 1263490.387776529, 1263490.387785576, 9.12696123123169e-06, 272, 20480]"
"['push', 474, 1263490.419774862, 1263490.419783478, 8.695991709828377e-06, 272, 20480]"
"['push', 568, 1263490.451775128, 1263490.451783875, 8.827075362205505e-06, 272, 20480]"
"['push', 662, 1263490.483773201, 1263490.483781737, 8.615897968411446e-06, 272, 20480]"
"['push', 756, 1263490.515776534, 1263490.51578543, 8.965842425823212e-06, 272, 20480]"
"['push', 850, 1263490.555773551, 1263490.555781906, 8.445000275969505e-06, 272, 20480]"
"['push', 944, 1263490.571772842, 1263490.571781398, 8.635921403765678e-06, 272, 20480]"
"['push', 1038, 1263490.603775894, 1263490.603784109, 8.285976946353912e-06, 272, 20480]"
"['push', 1132, 1263490.623835146, 1263490.623843822, 8.746981620788574e-06, 272, 20480]"
"['push', 1226, 1263490.639769617, 1263490.639777862, 8.315080776810646e-06, 272, 20480]"
"['push', 1320, 1263490.671768852, 1263490.671777257, 8.495990186929703e-06, 272, 20480]"
"['push', 1414, 1263490.703768447, 1263490.703776512, 8.154893293976784e-06, 272, 20480]"
"['push', 5, 1263490.723884576, 1263490.723893392, 8.906936272978783e-06, 272, 20480]"
"['push', 99, 1263490.739772208, 1263490.739780494, 8.375849574804306e-06, 272, 20480]"
"['push', 193, 1263490.771770802, 1263490.771779268, 8.57585109770298e-06, 272, 20480]"
"['push', 287, 1263490.80377205, 1263490.803780165, 8.206116035580635e-06, 272, 20480]"
"['push', 381, 1263490.823935257, 1263490.823943733, 8.546048775315285e-06, 272, 20480]"
"['push', 475, 1263490.839771924, 1263490.83978023, 8.385861292481422e-06, 272, 20480]"
"['push', 569, 1263490.871788382, 1263490.871801606, 1.3445038348436356e-05, 272, 20480]"
"['push', 663, 1263490.903801522, 1263490.90381137, 9.939074516296387e-06, 272, 20480]"
"['push', 757, 1263490.923999174, 1263490.92400789, 8.78702849149704e-06, 272, 20480]"
"['push', 851, 1263490.939786007, 1263490.939795204, 9.288080036640167e-06, 272, 20480]"
"['push', 945, 1263490.97177347, 1263490.971781966, 8.585862815380096e-06, 272, 20480]"
"['push', 1039, 1263491.003825053, 1263491.003833679, 8.725794032216072e-06, 272, 20480]"
"['push', 1133, 1263491.024050497, 1263491.024059463, 9.057112038135529e-06, 272, 20480]"
"['push', 1227, 1263491.039776717, 1263491.039784992, 8.334871381521225e-06, 272, 20480]"
"['push', 1321, 1263491.071773718, 1263491.071781973, 8.344883099198341e-06, 272, 20480]"
"['push', 1415, 1263491.103780676, 1263491.103789913, 9.328126907348633e-06, 272, 20480]"
"['push', 6, 1263491.12411243, 1263491.124126466, 1.415587030351162e-05, 272, 20480]"
"['push', 100, 1263491.139770902, 1263491.139779398, 8.58609564602375e-06, 272, 20480]"
"['push', 194, 1263491.171772762, 1263491.171781488, 8.807051926851273e-06, 272, 20480]"
"['push', 288, 1263491.20376823, 1263491.203776525, 8.366070687770844e-06, 272, 20480]"
"['push', 382, 1263491.224153162, 1263491.224161368, 8.255941793322563e-06, 272, 20480]"
"['push', 476, 1263491.271784591, 1263491.271793237, 8.746981620788574e-06, 272, 20480]"
"['push', 570, 1263491.303862483, 1263491.303872011, 9.597977623343468e-06, 272, 20480]"
"['push', 664, 1263491.32421727, 1263491.324225796, 8.6161307990551e-06, 272, 20480]"
"['push', 758, 1263491.339780594, 1263491.33978926, 8.756062015891075e-06, 272, 20480]"
"['push', 852, 1263491.371782594, 1263491.37179124, 8.736038580536842e-06, 272, 20480]"
"['push', 946, 1263491.403798089, 1263491.403807377, 9.358162060379982e-06, 272, 20480]"
"['push', 1040, 1263491.424265316, 1263491.424273702, 8.47596675157547e-06, 272, 20480]"
"['push', 1134, 1263491.439781062, 1263491.439789868, 8.916016668081284e-06, 272, 20480]"
"['push', 1228, 1263491.471772171, 1263491.471780456, 8.364906534552574e-06, 272, 20480]"
"['push', 1322, 1263491.503775493, 1263491.50378438, 8.977018296718597e-06, 272, 20480]"
"['push', 1416, 1263491.524335244, 1263491.52434376, 8.596107363700867e-06, 272, 20480]"
"['push', 7, 1263491.539770589, 1263491.539778483, 7.983995601534843e-06, 272, 20480]"
"['push', 101, 1263491.603769409, 1263491.603777855, 8.546048775315285e-06, 272, 20480]"
"['push', 195, 1263491.624375847, 1263491.624384313, 8.556060492992401e-06, 272, 20480]"
"['push', 289, 1263491.639769814, 1263491.639777889, 8.145114406943321e-06, 272, 20480]"
"['push', 383, 1263491.671773386, 1263491.671781762, 8.44593159854412e-06, 272, 20480]"
"['push', 477, 1263491.703771669, 1263491.703780616, 9.037088602781296e-06, 272, 20480]"
"['push', 571, 1263491.724430867, 1263491.724439603, 8.81589949131012e-06, 272, 20480]"
"['push', 665, 1263491.739771964, 1263491.73978011, 8.225906640291214e-06, 272, 20480]"
"['push', 759, 1263491.771770578, 1263491.771778934, 8.435919880867004e-06, 272, 20480]"
"['push', 853, 1263491.803786614, 1263491.803795421, 8.896924555301666e-06, 272, 20480]"
"['push', 947, 1263491.824499792, 1263491.824508348, 8.647097274661064e-06, 272, 20480]"
"['push', 1041, 1263491.839785437, 1263491.839793933, 8.57585109770298e-06, 272, 20480]"
"['push', 1135, 1263491.871770414, 1263491.871779, 8.686911314725876e-06, 272, 20480]"
"['push', 1229, 1263491.903792742, 1263491.903801489, 8.827075362205505e-06, 272, 20480]"
"['push', 1323, 1263491.924557057, 1263491.924565503, 8.546048775315285e-06, 272, 20480]"
"['push', 1417, 1263491.939752121, 1263491.939760116, 8.075032383203506e-06, 272, 20480]","['flush_after', 1417, 1263491.939761649, 1263492.007647044, 0.06788564613088965, 17408, 1310720]"
"['push', 8, 1263528.71589166, 1263528.71590763, 1.6059959307312965e-05, 272, 20480]"
"['push', 102, 1263528.755804079, 1263528.755817133, 1.320522278547287e-05, 272, 20480]"
"['push', 196, 1263528.767800016, 1263528.767809894, 9.938841685652733e-06, 272, 20480]"
"['push', 290, 1263528.79978266, 1263528.799791656, 9.066890925168991e-06, 272, 20480]"
