push,projection_id,start,stop,duration,metadata_size,data_size
"['push', 0, 1258408.172418153, 1258408.172444122, 2.60891392827034e-05, 272, 20480]","['flush_after', 0, 1258408.172449101, 1258408.196158035, 0.023709353990852833, 272, 20480]"
"['push', 94, 1258408.812307704, 1258408.812318895, 1.130206510424614e-05, 272, 20480]","['flush_after', 94, 1258408.81232156, 1258408.876145765, 0.06382453604601324, 272, 20480]"
"['push', 188, 1258409.460299816, 1258409.460311568, 1.1862022802233696e-05, 272, 20480]","['flush_after', 188, 1258409.460314293, 1258409.524145421, 0.06383142806589603, 272, 20480]"
"['push', 282, 1258410.108308969, 1258410.108323086, 1.4246907085180283e-05, 272, 20480]","['flush_after', 282, 1258410.108328947, 1258410.172145337, 0.06381675996817648, 272, 20480]"
"['push', 376, 1258410.756288958, 1258410.756300109, 1.1280877515673637e-05, 272, 20480]","['flush_after', 376, 1258410.756302623, 1258410.820146345, 0.06384403188712895, 272, 20480]"
"['push', 470, 1258411.404294614, 1258411.404307308, 1.2774020433425903e-05, 272, 20480]","['flush_after', 470, 1258411.404309262, 1258411.46814584, 0.06383684882894158, 272, 20480]"
"['push', 564, 1258412.052289381, 1258412.052299931, 1.0630115866661072e-05, 272, 20480]","['flush_after', 564, 1258412.052301684, 1258412.116145666, 0.06384419207461178, 272, 20480]"
"['push', 658, 1258412.700291561, 1258412.700302792, 1.1292053386569023e-05, 272, 20480]","['flush_after', 658, 1258412.700304556, 1258412.764144951, 0.06384079507552087, 272, 20480]"
"['push', 752, 1258413.348280046, 1258413.348291297, 1.134118065237999e-05, 272, 20480]","['flush_after', 752, 1258413.34829318, 1258413.412145148, 0.06385226780548692, 272, 20480]"
"['push', 846, 1258413.996278859, 1258413.996290411, 1.164199784398079e-05, 272, 20480]","['flush_after', 846, 1258413.996292205, 1258414.060147428, 0.06385552301071584, 272, 20480]"
"['push', 940, 1258414.644278976, 1258414.644290247, 1.1352123692631721e-05, 272, 20480]","['flush_after', 940, 1258414.644291931, 1258414.708144508, 0.06385281798429787, 272, 20480]"
"['push', 1034, 1258415.292278081, 1258415.292288711, 1.0699965059757233e-05, 272, 20480]","['flush_after', 1034, 1258415.292297177, 1258415.356145997, 0.06384907104074955, 272, 20480]"
"['push', 1128, 1258415.940277786, 1258415.940288917, 1.1221040040254593e-05, 272, 20480]","['flush_after', 1128, 1258415.940290791, 1258416.008145076, 0.06785453506745398, 272, 20480]"
"['push', 1222, 1258416.588280999, 1258416.58829224, 1.1310912668704987e-05, 272, 20480]","['flush_after', 1222, 1258416.588293873, 1258416.652145789, 0.06385222706012428, 272, 20480]"
