Type,Size,Duration
Push,52428800,2.9094e-05
Flush,52428800,0.0909101
Push,52428800,1.2945e-05
Flush,52428800,0.0871324
Push,52428800,1.2203e-05
Flush,52428800,0.0771731
Push,52428800,1.2523e-05
Flush,52428800,0.0895582
Push,52428800,1.108e-05
Flush,52428800,0.0696078
Push,52428800,1.2814e-05
Flush,52428800,0.104381
Push,52428800,1.2053e-05
Flush,52428800,0.130569
Push,52428800,1.1392e-05
Flush,52428800,0.0931327
Push,52428800,1.075e-05
Flush,52428800,0.0318062
Push,52428800,7.153e-06
Flush,52428800,0.0650226
Push,52428800,1.3105e-05
Flush,52428800,0.0889269
Push,52428800,1.1702e-05
Flush,52428800,0.111362
Push,52428800,1.1701e-05
Flush,52428800,0.0817134
Push,52428800,1.2153e-05
Flush,52428800,0.0694956
Push,52428800,1.1191e-05
Flush,52428800,0.178614
Push,52428800,1.1973e-05
Flush,52428800,0.0888579
Push,52428800,1.2614e-05
Flush,52428800,0.0641834
Push,52428800,1.1953e-05
Flush,52428800,0.0703975
Push,52428800,1.3505e-05
Flush,52428800,0.101207
Push,52428800,1.2593e-05
Flush,52428800,0.0836468
Push,52428800,1.2574e-05
Flush,52428800,0.0846406
Push,52428800,1.2794e-05
Flush,52428800,0.0900935
Push,52428800,1.2414e-05
Flush,52428800,0.09509
Push,52428800,1.081e-05
Flush,52428800,0.0659564
Push,52428800,1.1782e-05
Flush,52428800,0.0651504
Push,52428800,1.2023e-05
Flush,52428800,0.0636194
Push,52428800,1.2614e-05
Flush,52428800,0.0834748
Push,52428800,1.1782e-05
Flush,52428800,0.0962212
Push,52428800,1.3555e-05
Flush,52428800,0.0658689
Push,52428800,1.2604e-05
Flush,52428800,0.0892765
Push,52428800,1.2293e-05
Flush,52428800,0.228692
Push,52428800,1.1642e-05
Flush,52428800,0.0630879
Push,52428800,1.088e-05
Flush,52428800,0.0611361
Push,52428800,1.2193e-05
Flush,52428800,0.0893868
Push,52428800,1.1962e-05
Flush,52428800,0.069166
Push,52428800,1.1692e-05
Flush,52428800,0.0851102
Push,52428800,1.2033e-05
Flush,52428800,0.0737183
Push,52428800,1.2052e-05
Flush,52428800,0.0776203
Push,52428800,1.052e-05
Flush,52428800,0.0755973
Push,52428800,1.1592e-05
Flush,52428800,0.0789803
Push,52428800,1.2985e-05
Flush,52428800,0.0779611
Push,52428800,1.1912e-05
Flush,52428800,0.10587
Push,52428800,1.2213e-05
Flush,52428800,0.120958
Push,52428800,1.3005e-05
Flush,52428800,0.0902926
Push,52428800,6.583e-06
Flush,52428800,0.0328641
Push,52428800,1.2013e-05
Flush,52428800,0.0838495
Push,52428800,1.0991e-05
Flush,52428800,0.0693091
Push,52428800,1.3676e-05
Flush,52428800,0.0901268
Push,52428800,1.1451e-05
Flush,52428800,0.0528274
Push,52428800,1.3004e-05
Flush,52428800,0.0693156
Push,52428800,1.2554e-05
Flush,52428800,0.125178
Push,52428800,1.2844e-05
Flush,52428800,0.0779497
Push,52428800,1.0791e-05
Flush,52428800,0.069596
Push,52428800,1.097e-05
Flush,52428800,0.0811802
Push,52428800,1.1662e-05
Flush,52428800,0.0885609
Push,52428800,1.2073e-05
Flush,52428800,0.065925
Push,52428800,1.1822e-05
Flush,52428800,0.068928
Push,52428800,1.1792e-05
Flush,52428800,0.0606199
Push,52428800,1.2674e-05
Flush,52428800,0.0843431
Push,52428800,1.2744e-05
Flush,52428800,0.0900024
Push,52428800,1.3535e-05
Flush,52428800,0.0742203
Push,52428800,1.1682e-05
Flush,52428800,0.067921
Push,52428800,1.082e-05
Flush,52428800,0.432767
Push,52428800,1.1e-05
Flush,52428800,0.0894305
Push,52428800,1.2343e-05
Flush,52428800,0.0525677
Push,52428800,1.04e-05
Flush,52428800,0.0801342
Push,52428800,1.2664e-05
Flush,52428800,0.0685837
Push,52428800,1.2063e-05
Flush,52428800,0.0811462
Push,52428800,1.3214e-05
Flush,52428800,0.0864099
Push,52428800,0.0128414
Flush,52428800,0.0914564
Push,52428800,0.0136355
Flush,52428800,0.0868822
Push,52428800,1.2995e-05
Flush,52428800,0.101259
Push,52428800,1.3516e-05
Flush,52428800,0.0643587
Push,52428800,1.097e-05
Flush,52428800,0.0650307
Push,52428800,1.2193e-05
Flush,52428800,0.0710254
Push,52428800,1.2543e-05
Flush,52428800,0.0659947
Push,52428800,1.2855e-05
Flush,52428800,0.0641385
Push,52428800,1.1942e-05
Flush,52428800,0.0831177
Push,52428800,1.3475e-05
Flush,52428800,0.0830679
Push,52428800,1.3024e-05
Flush,52428800,0.0716312
Push,52428800,1.2484e-05
Flush,52428800,0.0740747
Push,52428800,1.2874e-05
Flush,52428800,0.0668914
Push,52428800,1.2203e-05
Flush,52428800,0.0802239
Push,52428800,1.3325e-05
Flush,52428800,0.0650968
Push,52428800,1.0981e-05
Flush,52428800,0.0688293
Push,52428800,1.2964e-05
Flush,52428800,0.0976741
Push,52428800,1.3636e-05
Flush,52428800,0.0668847
Push,52428800,1.3546e-05
Flush,52428800,0.110089
Push,52428800,1.3125e-05
Flush,52428800,0.0818439
Push,52428800,1.2754e-05
Flush,52428800,0.0690303
Push,52428800,1.2063e-05
Flush,52428800,0.070474
Push,52428800,1.2434e-05
Flush,52428800,0.0689586
Push,52428800,0.00627821
Flush,52428800,0.0794263
Push,52428800,1.1091e-05
Flush,52428800,0.0625779
Flush,0,3.787e-06
