Type,Size,Duration
wait_t,1,626.801
wait_t,1,0.0317345
wait_t,1,0.0319262
wait_t,1,0.0319869
mata_t,133,5e-08
data_t,20480,1.453e-06
mata_t,132,1.5e-07
data_t,20480,1.5e-07
mata_t,133,6.1e-08
data_t,20480,5e-08
mata_t,132,6e-08
data_t,20480,6e-08
wait_t,1,2.996e-06
wait_t,1,2.284e-06
wait_t,1,5.51e-07
wait_t,1,2.5e-07
mata_t,132,4e-08
data_t,20480,1.91e-07
mata_t,132,1.71e-07
data_t,20480,1.4e-07
mata_t,131,1.3e-07
data_t,20480,1.1e-07
mata_t,132,6e-08
data_t,20480,3.11e-07
wait_t,1,4.629e-06
wait_t,1,7.21e-07
wait_t,1,5.21e-07
wait_t,1,9.62e-07
mata_t,133,5e-08
data_t,20480,2.11e-07
mata_t,132,7e-08
data_t,20480,7e-08
mata_t,133,6e-08
data_t,20480,3e-08
mata_t,133,6e-08
data_t,20480,3e-08
wait_t,1,4.518e-06
wait_t,1,4.91e-07
wait_t,1,4.3e-07
wait_t,1,5.81e-07
mata_t,133,4e-08
data_t,20480,4.51e-07
mata_t,134,6e-08
data_t,20480,1.5e-07
mata_t,134,6e-08
data_t,20480,5e-08
mata_t,134,5e-08
data_t,20480,5e-08
wait_t,1,6.172e-06
wait_t,1,1.082e-06
wait_t,1,5.51e-07
wait_t,1,5.31e-07
mata_t,133,6e-08
data_t,20480,4.31e-07
mata_t,133,6e-08
data_t,20480,2.2e-07
mata_t,134,6e-08
data_t,20480,5e-08
mata_t,133,6e-08
data_t,20480,4e-08
wait_t,1,3.897e-06
wait_t,1,6.71e-07
wait_t,1,4.21e-07
wait_t,1,8.42e-07
mata_t,133,4e-08
data_t,20480,1.91e-07
mata_t,133,6e-08
data_t,20480,7e-08
mata_t,133,6e-08
data_t,20480,4e-08
mata_t,133,5e-08
data_t,20480,3e-08
wait_t,1,5.941e-06
wait_t,1,1.062e-06
wait_t,1,8.62e-07
wait_t,1,6.31e-07
mata_t,133,6e-08
data_t,20480,4.41e-07
mata_t,133,7e-08
data_t,20480,6e-08
mata_t,133,6e-08
data_t,20480,1.4e-07
mata_t,134,6e-08
data_t,20480,4e-08
wait_t,1,5.74e-06
wait_t,1,9.02e-07
wait_t,1,5.21e-07
wait_t,1,6.21e-07
mata_t,133,5e-08
data_t,20480,7.92e-07
mata_t,133,6e-08
data_t,20480,5e-08
mata_t,134,6e-08
data_t,20480,6e-08
mata_t,134,6e-08
data_t,20480,3e-08
wait_t,1,5.941e-06
wait_t,1,4.91e-07
wait_t,1,7.21e-07
wait_t,1,1.123e-06
mata_t,133,4e-08
data_t,20480,4.41e-07
mata_t,133,7e-08
data_t,20480,5.1e-08
mata_t,133,6.1e-08
data_t,20480,5e-08
mata_t,133,6.1e-08
data_t,20480,5e-08
wait_t,1,3.446e-06
wait_t,1,5.71e-07
wait_t,1,6.81e-07
wait_t,1,4.91e-07
mata_t,132,6e-08
data_t,20480,2.5e-07
mata_t,133,7e-08
data_t,20480,1.3e-07
mata_t,132,5e-08
data_t,20480,7e-08
mata_t,133,1.3e-07
data_t,20480,5.1e-08
wait_t,1,5.901e-06
wait_t,1,8.51e-07
wait_t,1,5.01e-07
wait_t,1,3.01e-07
mata_t,132,6e-08
data_t,20480,9.32e-07
mata_t,133,6e-08
data_t,20480,5e-08
mata_t,133,1.2e-07
data_t,20480,6e-08
mata_t,134,6e-08
data_t,20480,5e-08
wait_t,1,6.212e-06
wait_t,1,3.91e-07
wait_t,1,3.71e-07
wait_t,1,8.92e-07
mata_t,133,4e-08
data_t,20480,4.31e-07
mata_t,132,7e-08
data_t,20480,7e-08
mata_t,133,6e-08
data_t,20480,4e-08
mata_t,134,6e-08
