push,projection_id,start,stop,duration,metadata_size,data_size
"['push', 0, 1258515.787977485, 1258515.788007781, 3.0427007004618645e-05, 272, 20480]"
"['push', 94, 1258515.819773034, 1258515.819783314, 1.0390067473053932e-05, 272, 20480]"
"['push', 188, 1258515.851777186, 1258515.851786914, 9.828014299273491e-06, 272, 20480]"
"['push', 282, 1258515.8837672, 1258515.883776457, 9.356997907161713e-06, 272, 20480]"
"['push', 376, 1258515.919768811, 1258515.91977881, 1.013907603919506e-05, 272, 20480]"
"['push', 470, 1258515.951759657, 1258515.951768734, 9.158160537481308e-06, 272, 20480]"
"['push', 564, 1258515.983759711, 1258515.983768848, 9.236857295036316e-06, 272, 20480]"
"['push', 658, 1258516.011761131, 1258516.011770148, 9.086914360523224e-06, 272, 20480]"
"['push', 752, 1258516.043753119, 1258516.043762557, 9.538140147924423e-06, 272, 20480]"
"['push', 846, 1258516.075721312, 1258516.075729859, 8.636852726340294e-06, 272, 20480]"
"['push', 940, 1258516.103738823, 1258516.10374752, 8.767005056142807e-06, 272, 20480]"
"['push', 1034, 1258516.135736643, 1258516.135745319, 8.745817467570305e-06, 272, 20480]"
"['push', 1128, 1258516.167718672, 1258516.167727188, 8.596107363700867e-06, 272, 20480]"
"['push', 1222, 1258516.188387834, 1258516.188396871, 9.106937795877457e-06, 272, 20480]"
"['push', 1316, 1258516.203740631, 1258516.203748917, 8.386094123125076e-06, 272, 20480]"
"['push', 1410, 1258516.235735746, 1258516.235744382, 8.735805749893188e-06, 272, 20480]"
"['push', 1, 1258516.267734547, 1258516.267744115, 9.678071364760399e-06, 272, 20480]"
"['push', 95, 1258516.288432714, 1258516.28844141, 8.775852620601654e-06, 272, 20480]"
"['push', 189, 1258516.303737621, 1258516.303746037, 8.495990186929703e-06, 272, 20480]"
"['push', 283, 1258516.335733797, 1258516.335742252, 8.536037057638168e-06, 272, 20480]"
"['push', 377, 1258516.367721317, 1258516.367729813, 8.57585109770298e-06, 272, 20480]"
"['push', 471, 1258516.388507348, 1258516.388516075, 8.807051926851273e-06, 272, 20480]"
"['push', 565, 1258516.403742905, 1258516.403751492, 8.696923032402992e-06, 272, 20480]"
"['push', 659, 1258516.435723823, 1258516.43573265, 8.916947990655899e-06, 272, 20480]"
"['push', 753, 1258516.467734155, 1258516.467742872, 8.797040209174156e-06, 272, 20480]"
"['push', 847, 1258516.488548671, 1258516.488557227, 8.626142516732216e-06, 272, 20480]"
"['push', 941, 1258516.503739404, 1258516.503748531, 9.197043254971504e-06, 272, 20480]"
"['push', 1035, 1258516.535740018, 1258516.535748925, 8.99704173207283e-06, 272, 20480]"
"['push', 1129, 1258516.56771771, 1258516.567726045, 8.40495340526104e-06, 272, 20480]"
"['push', 1223, 1258516.588605843, 1258516.588614379, 8.615897968411446e-06, 272, 20480]"
"['push', 1317, 1258516.603727697, 1258516.603736684, 9.067123755812645e-06, 272, 20480]"
"['push', 1411, 1258516.635727269, 1258516.635735926, 8.736969903111458e-06, 272, 20480]"
"['push', 2, 1258516.667728354, 1258516.667741689, 1.3425014913082123e-05, 272, 20480]"
"['push', 96, 1258516.688653677, 1258516.688662434, 8.827075362205505e-06, 272, 20480]"
"['push', 190, 1258516.735727915, 1258516.735737203, 9.357929229736328e-06, 272, 20480]"
"['push', 284, 1258516.767724122, 1258516.767732627, 8.596107363700867e-06, 272, 20480]"
"['push', 378, 1258516.788706061, 1258516.788714637, 8.645933121442795e-06, 272, 20480]"
"['push', 472, 1258516.803727967, 1258516.803736724, 8.847098797559738e-06, 272, 20480]"
"['push', 566, 1258516.835720656, 1258516.835729513, 8.946983143687248e-06, 272, 20480]"
"['push', 660, 1258516.867722814, 1258516.8677313, 8.566072210669518e-06, 272, 20480]"
"['push', 754, 1258516.88876158, 1258516.888770086, 8.596107363700867e-06, 272, 20480]"
"['push', 848, 1258516.903717101, 1258516.903725647, 8.626841008663177e-06, 272, 20480]"
"['push', 942, 1258516.935726362, 1258516.93573571, 9.40798781812191e-06, 272, 20480]"
"['push', 1036, 1258516.967744519, 1258516.967753566, 9.106937795877457e-06, 272, 20480]"
"['push', 1130, 1258516.987748013, 1258516.987756639, 8.716946467757225e-06, 272, 20480]"
"['push', 1224, 1258516.988821838, 1258516.988830875, 9.12696123123169e-06, 272, 20480]"
"['push', 1318, 1258517.003719591, 1258517.003728157, 8.655944839119911e-06, 272, 20480]"
"['push', 1412, 1258517.035724233, 1258517.035732659, 8.526025339961052e-06, 272, 20480]"
"['push', 3, 1258517.067725669, 1258517.067734245, 8.656177669763565e-06, 272, 20480]"
"['push', 97, 1258517.088869642, 1258517.088878118, 8.556060492992401e-06, 272, 20480]"
"['push', 191, 1258517.103722471, 1258517.103730737, 8.34604725241661e-06, 272, 20480]"
"['push', 285, 1258517.135723817, 1258517.135732253, 8.526025339961052e-06, 272, 20480]"
"['push', 379, 1258517.167716396, 1258517.167725633, 9.317882359027863e-06, 272, 20480]"
"['push', 473, 1258517.1889247, 1258517.188932996, 8.386094123125076e-06, 272, 20480]"
"['push', 567, 1258517.203718489, 1258517.203727286, 8.896924555301666e-06, 272, 20480]"
"['push', 661, 1258517.235724563, 1258517.235733009, 8.526025339961052e-06, 272, 20480]"
"['push', 755, 1258517.267714999, 1258517.267723465, 8.566072210669518e-06, 272, 20480]"
"['push', 849, 1258517.288979488, 1258517.288988024, 8.617062121629715e-06, 272, 20480]"
"['push', 943, 1258517.30372714, 1258517.303735435, 8.356058970093727e-06, 272, 20480]"
