type,index,start,stop,duration,metadata_size,data_size
push,0,1258444.710707768,1258444.710774573,6.692484021186829e-05,184,20540
push,94,1258445.310844377,1258445.310874013,2.9826071113348007e-05,184,20548
push,188,1258445.910938286,1258445.910951761,1.3635028153657913e-05,184,20548
push,282,1258446.511014581,1258446.511033697,1.92869920283556e-05,184,20548
push,376,1258447.111099494,1258447.111115935,1.6591046005487442e-05,184,20548
push,470,1258447.711180018,1258447.711194024,1.415587030351162e-05,184,20548
push,564,1258448.311257235,1258448.311268145,1.1081108823418617e-05,184,20548
push,658,1258448.91133643,1258448.911353442,1.7151935026049614e-05,184,20548
push,752,1258449.511416665,1258449.511432995,1.6450881958007812e-05,184,20548
push,846,1258450.111495077,1258450.111509574,1.4667166396975517e-05,184,20548
push,940,1258450.711573307,1258450.711586572,1.3386132195591927e-05,184,20548
push,1034,1258451.311650737,1258451.311672688,2.2452091798186302e-05,184,20548
push,1128,1258451.911740099,1258451.911753774,1.3784971088171005e-05,184,20548
push,1222,1258452.511816837,1258452.51183457,1.7883023247122765e-05,184,20548
push,1316,1258453.111899036,1258453.111915346,1.6470905393362045e-05,184,20548
push,1410,1258453.711979741,1258453.711995551,1.592002809047699e-05,184,20548
flush_after,1410,1258453.711999959,1258453.760009655,0.04801013693213463,2944,328768
push,1,1258454.360076836,1258454.360096533,1.977686770260334e-05,184,20548
push,95,1258454.960159215,1258454.960177609,1.8503982573747635e-05,184,20548
push,189,1258455.560244369,1258455.560267272,2.307281829416752e-05,184,20548
push,283,1258456.160335043,1258456.160355491,2.0558014512062073e-05,184,20548
push,377,1258456.760419886,1258456.760434333,1.4577992260456085e-05,184,20548
push,471,1258457.360496625,1258457.36051024,1.3706041499972343e-05,184,20548
push,565,1258457.960579134,1258457.960592168,1.312396489083767e-05,184,20548
push,659,1258458.560654199,1258458.560669988,1.595006324350834e-05,184,20548
push,753,1258459.160732891,1258459.160753449,2.071913331747055e-05,184,20548
push,847,1258459.760817053,1258459.760829496,1.2513017281889915e-05,184,20548
push,941,1258460.360892048,1258460.360906314,1.433584839105606e-05,184,20548
push,1035,1258460.960971181,1258460.960995236,2.4145003408193588e-05,184,20548
push,1129,1258461.561062426,1258461.561083315,2.0958948880434036e-05,184,20548
push,1223,1258462.16114783,1258462.16116336,1.5619909390807152e-05,184,20548
push,1317,1258462.761226202,1258462.761240869,1.4747027307748795e-05,184,20548
push,1411,1258463.361305314,1258463.361322927,1.7712824046611786e-05,184,20548
flush_after,1411,1258463.361326494,1258463.408008072,0.046681809006258845,2944,328768
push,2,1258464.008075814,1258464.008096051,2.0348001271486282e-05,184,20548
push,96,1258464.608161468,1258464.608179703,1.8314924091100693e-05,184,20548
push,190,1258465.208244248,1258465.208260739,1.658196561038494e-05,184,20548
push,284,1258465.808324894,1258465.808339792,1.498800702393055e-05,184,20548
push,378,1258466.408404207,1258466.408427621,2.3523811250925064e-05,184,20548
push,472,1258467.008492056,1258467.008509008,1.70818530023098e-05,184,20548
push,566,1258467.60857229,1258467.60858811,1.5900004655122757e-05,184,20548
push,660,1258468.208651724,1258468.208666081,1.443689689040184e-05,184,20548
push,754,1258468.808729745,1258468.808746436,1.6791047528386116e-05,184,20548
push,848,1258469.408811823,1258469.408829225,1.7563113942742348e-05,184,20548
push,942,1258470.008892368,1258470.008909961,1.7762882634997368e-05,184,20548
push,1036,1258470.608972563,1258470.60898732,1.4818040654063225e-05,184,20548
push,1130,1258471.209050714,1258471.209069218,1.8663937225937843e-05,184,20548
push,1224,1258471.809133763,1258471.809149152,1.5459023416042328e-05,184,20548
push,1318,1258472.40920964,1258472.409222945,1.3455981388688087e-05,184,20548
push,1412,1258473.009287511,1258473.009304823,1.7412006855010986e-05,184,20548
flush_after,1412,1258473.009308009,1258473.056007992,0.046700194012373686,2944,328768
push,3,1258473.656081634,1258473.656106651,2.5106826797127724e-05,184,20548
push,97,1258474.256172389,1258474.256187918,1.5679048374295235e-05,184,20548
push,191,1258474.856254247,1258474.856272942,1.8795020878314972e-05,184,20548
push,285,1258475.456337988,1258475.456354459,1.6550999134778976e-05,184,20548
push,379,1258476.056419535,1258476.056439222,1.9796891137957573e-05,184,20548
