type,projection_id,start,stop,duration,metadata_size,data_size
push,0,1230239.140222799,1230239.140254288,3.1599076464772224e-05,272,10240
push,94,1230239.17193013,1230239.171941071,1.106085255742073e-05,272,10240
push,188,1230239.203911416,1230239.203921234,9.927898645401001e-06,272,10240
push,282,1230239.235909132,1230239.23591844,9.40798781812191e-06,272,10240
push,376,1230239.271901184,1230239.271910902,9.78889875113964e-06,272,10240
push,470,1230239.303896667,1230239.303905543,8.976086974143982e-06,272,10240
push,564,1230239.335890275,1230239.335899021,8.816132321953773e-06,272,10240
push,658,1230239.371901553,1230239.37191049,9.007053449749947e-06,272,10240
push,752,1230239.383875914,1230239.383885492,9.668059647083282e-06,272,10240
push,846,1230239.415876626,1230239.415885423,8.8568776845932e-06,272,10240
push,940,1230239.440595032,1230239.440603738,8.79610888659954e-06,272,10240
push,1034,1230239.451872175,1230239.451880961,8.865958079695702e-06,272,10240
push,1128,1230239.483875411,1230239.483884468,9.147915989160538e-06,272,10240
push,1222,1230239.515883177,1230239.515892264,9.177019819617271e-06,272,10240
push,1316,1230239.540651266,1230239.540660083,8.896924555301666e-06,272,10240
push,1410,1230239.551873806,1230239.551882392,8.646165952086449e-06,272,10240
push,1,1230239.5838758,1230239.583885578,9.889015927910805e-06,272,10240
push,95,1230239.615879698,1230239.615888445,8.837087079882622e-06,272,10240
push,189,1230239.640706999,1230239.640715715,8.78702849149704e-06,272,10240
push,283,1230239.651875487,1230239.651884324,8.916947990655899e-06,272,10240
push,377,1230239.715868325,1230239.715876942,8.686911314725876e-06,272,10240
push,471,1230239.740755809,1230239.740764435,8.706003427505493e-06,272,10240
push,565,1230239.75187777,1230239.751886256,8.57585109770298e-06,272,10240
push,659,1230239.783864676,1230239.783873924,9.337905794382095e-06,272,10240
push,753,1230239.815878303,1230239.815887189,8.977018296718597e-06,272,10240
push,847,1230239.840808015,1230239.840816782,8.866889402270317e-06,272,10240
push,941,1230239.851871807,1230239.851880273,8.567003533244133e-06,272,10240
push,1035,1230239.883879262,1230239.883887958,8.776085451245308e-06,272,10240
push,1129,1230239.915869835,1230239.915878701,8.965842425823212e-06,272,10240
push,1223,1230239.940864089,1230239.940872805,8.786097168922424e-06,272,10240
push,1317,1230239.951871284,1230239.9518797,8.485978469252586e-06,272,10240
push,1411,1230239.98386869,1230239.983877487,8.877133950591087e-06,272,10240
push,2,1230240.027869221,1230240.0278794,1.0228948667645454e-05,272,10240
push,96,1230240.040927205,1230240.040936432,9.298091754317284e-06,272,10240
push,190,1230240.071864792,1230240.071873469,8.746981620788574e-06,272,10240
push,284,1230240.10386828,1230240.103876976,8.78586433827877e-06,272,10240
push,378,1230240.135862359,1230240.135870775,8.495990186929703e-06,272,10240
push,472,1230240.171865572,1230240.171874018,8.526025339961052e-06,272,10240
push,566,1230240.203863438,1230240.203871564,8.186092600226402e-06,272,10240
push,660,1230240.23586903,1230240.235877476,8.536037057638168e-06,272,10240
push,754,1230240.271864448,1230240.271872984,8.625909686088562e-06,272,10240
push,848,1230240.283862844,1230240.28387127,8.515780791640282e-06,272,10240
push,942,1230240.31586524,1230240.315873735,8.57585109770298e-06,272,10240
push,1036,1230240.341106997,1230240.341119641,1.2783799320459366e-05,272,10240
push,1130,1230240.351891766,1230240.351901364,9.687850251793861e-06,272,10240
push,1224,1230240.383880476,1230240.383890004,9.607989341020584e-06,272,10240
push,1318,1230240.41586669,1230240.415875376,8.777016773819923e-06,272,10240
push,1412,1230240.441134007,1230240.441142873,8.936040103435516e-06,272,10240
push,3,1230240.451863561,1230240.451872097,8.595874533057213e-06,272,10240
push,97,1230240.483861949,1230240.483870375,8.536037057638168e-06,272,10240
push,191,1230240.515956838,1230240.515965925,9.156996384263039e-06,272,10240
push,285,1230240.555873314,1230240.555882051,8.817063644528389e-06,272,10240
push,379,1230240.587873776,1230240.587882683,8.987030014395714e-06,272,10240
push,473,1230240.619872464,1230240.619881361,8.956994861364365e-06,272,10240
push,567,1230240.641244871,1230240.641253808,8.996808901429176e-06,272,10240
push,661,1230240.655866801,1230240.655875437,8.71601514518261e-06,272,10240
push,755,1230240.687871901,1230240.687884144,1.2303004041314125e-05,272,10240
push,849,1230240.719871631,1230240.719880548,8.99704173207283e-06,272,10240
push,943,1230240.741301326,1230240.741310353,9.116949513554573e-06,272,10240
push,1037,1230240.75587248,1230240.755881507,9.09692607820034e-06,272,10240
push,1131,1230240.787873893,1230240.78788293,9.116949513554573e-06,272,10240
push,1225,1230240.819886818,1230240.819896426,9.667826816439629e-06,272,10240
push,1319,1230240.841361737,1230240.841370774,9.116949513554573e-06,272,10240
push,1413,1230240.855871466,1230240.855880282,8.906004950404167e-06,272,10240
push,4,1230240.887879161,1230240.887890182,1.1111143976449966e-05,272,10240
push,98,1230240.91988345,1230240.919892787,9.397044777870178e-06,272,10240
push,192,1230240.941404816,1230240.941413713,8.956994861364365e-06,272,10240
push,286,1230240.955865673,1230240.955874079,8.465955033898354e-06,272,10240
push,380,1230240.987937138,1230240.987946055,9.007053449749947e-06,272,10240
push,474,1230241.019880222,1230241.019889019,8.877133950591087e-06,272,10240
push,568,1230241.041469226,1230241.041478182,9.047100320458412e-06,272,10240
push,662,1230241.055871934,1230241.05588045,8.58609564602375e-06,272,10240
push,756,1230241.087870732,1230241.087879638,8.986098691821098e-06,272,10240
push,850,1230241.119864471,1230241.119872906,8.526025339961052e-06,272,10240
push,944,1230241.141512655,1230241.141521402,8.827075362205505e-06,272,10240
push,1038,1230241.155865479,1230241.155873805,8.405884727835655e-06,272,10240
push,1132,1230241.187879857,1230241.187888554,8.807051926851273e-06,272,10240
push,1226,1230241.219872995,1230241.219881722,8.807051926851273e-06,272,10240
push,1320,1230241.241575962,1230241.241584709,8.827075362205505e-06,272,10240
push,1414,1230241.255863083,1230241.25587173,8.716946467757225e-06,272,10240
push,5,1230241.28786616,1230241.287874947,8.8568776845932e-06,272,10240
push,99,1230241.319862955,1230241.31987117,8.285045623779297e-06,272,10240
push,193,1230241.341621937,1230241.341630133,8.26595351099968e-06,272,10240
push,287,1230241.355861619,1230241.355870356,8.816830813884735e-06,272,10240
push,381,1230241.387862982,1230241.387871528,8.606119081377983e-06,272,10240
push,475,1230241.419860819,1230241.419869455,8.736038580536842e-06,272,10240
push,569,1230241.441712045,1230241.441724498,1.2612901628017426e-05,272,10240
push,663,1230241.455893196,1230241.455902965,9.84896905720234e-06,272,10240
push,757,1230241.487877828,1230241.487887176,9.448034688830376e-06,272,10240
push,851,1230241.519870876,1230241.519880113,9.327894076704979e-06,272,10240
push,945,1230241.541734745,1230241.541743692,9.046867489814758e-06,272,10240
push,1039,1230241.555867296,1230241.555875973,8.726958185434341e-06,272,10240
push,1133,1230241.587866896,1230241.587875803,8.967006579041481e-06,272,10240
push,1227,1230241.619862268,1230241.619870624,8.425908163189888e-06,272,10240
push,1321,1230241.641785329,1230241.641793745,8.506001904606819e-06,272,10240
