Type,Size,Duration
Push,26214400,2.679e-05
Push,26214400,9.127e-06
Push,26214400,6.152e-06
Push,26214400,7.675e-06
Push,26214400,8.796e-06
Push,26214400,7.864e-06
Push,26214400,5.49e-06
Push,26214400,7.444e-06
Flush,209715200,0.0913423
Push,26214400,1.055e-05
Push,26214400,8.546e-06
Push,26214400,5.621e-06
Push,26214400,7.855e-06
Push,26214400,8.666e-06
Push,26214400,7.965e-06
Push,26214400,4.799e-06
Push,26214400,8.045e-06
Flush,209715200,0.113602
Push,26214400,1.0499e-05
Push,26214400,8.766e-06
Push,26214400,5.851e-06
Push,26214400,7.855e-06
Push,26214400,8.867e-06
Push,26214400,7.644e-06
Push,26214400,7.594e-06
Push,26214400,7.494e-06
Flush,209715200,0.119825
Push,26214400,9.999e-06
Push,26214400,8.165e-06
Push,26214400,8.836e-06
Push,26214400,7.183e-06
Push,26214400,9.017e-06
Push,26214400,8.046e-06
Push,26214400,7.634e-06
Push,26214400,7.724e-06
Flush,209715200,0.231143
Push,26214400,1.1061e-05
Push,26214400,8.677e-06
Push,26214400,1.0129e-05
Push,26214400,6.823e-06
Push,26214400,8.857e-06
Push,26214400,9.898e-06
Push,26214400,8.335e-06
Push,26214400,7.033e-06
Flush,209715200,0.0996213
Push,26214400,1.0831e-05
Push,26214400,8.436e-06
Push,26214400,5.47e-06
Push,26214400,6.773e-06
Push,26214400,1.1672e-05
Push,26214400,7.675e-06
Push,26214400,5.22e-06
Push,26214400,7.844e-06
Flush,209715200,0.0873527
Push,26214400,3.3303e-05
Push,26214400,1.1141e-05
Push,26214400,8.907e-06
Push,26214400,8.376e-06
Push,26214400,8.977e-06
Push,26214400,8.045e-06
Push,26214400,7.164e-06
Push,26214400,7.555e-06
Flush,209715200,0.103521
Push,26214400,1.073e-05
Push,26214400,9.418e-06
Push,26214400,8.806e-06
Push,26214400,7.314e-06
Push,26214400,8.496e-06
Push,26214400,1.1361e-05
Push,26214400,7.374e-06
Push,26214400,6.532e-06
Flush,209715200,0.407582
Push,26214400,1.1322e-05
Push,26214400,9.408e-06
Push,26214400,8.907e-06
Push,26214400,7.634e-06
Push,26214400,9.077e-06
Push,26214400,8.005e-06
Push,26214400,7.574e-06
Push,26214400,6.723e-06
Flush,209715200,0.0914824
Push,26214400,1.1161e-05
Push,26214400,8.647e-06
Push,26214400,9.498e-06
Push,26214400,9.267e-06
Push,26214400,9.037e-06
Push,26214400,8.516e-06
Push,26214400,7.434e-06
Push,26214400,7.835e-06
Flush,209715200,0.107485
Push,26214400,1.4718e-05
Push,26214400,1.1722e-05
Push,26214400,1.1341e-05
Push,26214400,8.887e-06
Push,26214400,1.05e-05
Push,26214400,9.828e-06
Push,26214400,7.884e-06
Push,26214400,7.955e-06
Flush,209715200,0.0795767
Push,26214400,1.2864e-05
Push,26214400,9.067e-06
Push,26214400,9.277e-06
Push,26214400,8.596e-06
Push,26214400,9.378e-06
Push,26214400,1.041e-05
Flush,157286400,0.0665092
